MODEL_TAG;Model;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# AIR TECH MODELS;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
##########################################################################;;;;;;;;;;;;;;x
##########################################################################;;;;;;;;;;;;;;x
##########################################################################;;;;;;;;;;;;;;x
### MINOR NATIONS ###;;;;;;;;;;;;;;x
##########################################################################;;;;;;;;;;;;;;x
##########################################################################;;;;;;;;;;;;;;x
##########################################################################;;;;;;;;;;;;;;x
##########################################################################################;;;;;;;;;;;;;;x
### LIGHT AIR TECHNOLOGIES ###;;;;;;;;;;;;;;x
##########################################################################################;;;;;;;;;;;;;;x
### Fighter Armor ###;;;;;;;;;;;;;;x
fighter_armor_1;+1mm;;;;;;;;;;;;;x
fighter_armor_2;+2mm;;;;;;;;;;;;;x
fighter_armor_3;+3mm;;;;;;;;;;;;;x
fighter_armor_4;+4mm;;;;;;;;;;;;;x
fighter_armor_5;+5mm;;;;;;;;;;;;;x
fighter_armor_6;+6mm;;;;;;;;;;;;;x
fighter_armor_7;+7mm;;;;;;;;;;;;;x
fighter_armor_8;+8mm;;;;;;;;;;;;;x
### Fighter-Bomber Armor ###;;;;;;;;;;;;;;x
fighter_bomber_armor_1;+1mm;;;;;;;;;;;;;x
fighter_bomber_armor_2;+2mm;;;;;;;;;;;;;x
fighter_bomber_armor_3;+3mm;;;;;;;;;;;;;x
fighter_bomber_armor_4;+4mm;;;;;;;;;;;;;x
fighter_bomber_armor_5;+5mm;;;;;;;;;;;;;x
fighter_bomber_armor_6;+6mm;;;;;;;;;;;;;x
fighter_bomber_armor_7;+7mm;;;;;;;;;;;;;x
fighter_bomber_armor_8;+8mm;;;;;;;;;;;;;x
### CAS Armor ###;;;;;;;;;;;;;;x
cas_armor_1;+1mm;;;;;;;;;;;;;x
cas_armor_2;+2mm;;;;;;;;;;;;;x
cas_armor_3;+3mm;;;;;;;;;;;;;x
cas_armor_4;+4mm;;;;;;;;;;;;;x
cas_armor_5;+5mm;;;;;;;;;;;;;x
cas_armor_6;+6mm;;;;;;;;;;;;;x
cas_armor_7;+7mm;;;;;;;;;;;;;x
cas_armor_8;+8mm;;;;;;;;;;;;;x
### Light Aircraft Production Model ###;;;;;;;;;;;;;;x
light_aircraft_production_model_1;Production Version I;;;;;;;;;;;;;x
light_aircraft_production_model_2;Production Version II;;;;;;;;;;;;;x
light_aircraft_production_model_3;Production Version III;;;;;;;;;;;;;x
light_aircraft_production_model_4;Production Version IV;;;;;;;;;;;;;x
light_aircraft_production_model_5;Production Version V;;;;;;;;;;;;;x
light_aircraft_production_model_6;Production Version VI;;;;;;;;;;;;;x
light_aircraft_production_model_7;Production Version VII;;;;;;;;;;;;;x
light_aircraft_production_model_8;Production Version VIII;;;;;;;;;;;;;x
light_aircraft_production_model_9;Production Version IX;;;;;;;;;;;;;x
light_aircraft_production_model_10;Production Version X;;;;;;;;;;;;;x
light_aircraft_production_model_11;Production Version XI;;;;;;;;;;;;;x
light_aircraft_production_model_12;Production Version XII;;;;;;;;;;;;;x
light_aircraft_production_model_13;Production Version XIII;;;;;;;;;;;;;x
light_aircraft_production_model_14;Production Version XIV;;;;;;;;;;;;;x
light_aircraft_production_model_15;Production Version XV;;;;;;;;;;;;;x
### Light Aircraft Engine Improvements ###;;;;;;;;;;;;;;x
light_aircraft_engine_improvements_1;+5hp;;;;;;;;;;;;;x
light_aircraft_engine_improvements_2;+10hp;;;;;;;;;;;;;x
light_aircraft_engine_improvements_3;+15hp;;;;;;;;;;;;;x
light_aircraft_engine_improvements_4;+20hp;;;;;;;;;;;;;x
light_aircraft_engine_improvements_5;+25hp;;;;;;;;;;;;;x
light_aircraft_engine_improvements_6;+30hp;;;;;;;;;;;;;x
light_aircraft_engine_improvements_7;+35hp;;;;;;;;;;;;;x
light_aircraft_engine_improvements_8;+40hp;;;;;;;;;;;;;x
light_aircraft_engine_improvements_9;+50hp;;;;;;;;;;;;;x
light_aircraft_engine_improvements_10;+55hp;;;;;;;;;;;;;x
light_aircraft_engine_improvements_11;+60hp;;;;;;;;;;;;;x
light_aircraft_engine_improvements_12;+70hp;;;;;;;;;;;;;x
### Light Aircraft Internal Mechanical Improvements ###;;;;;;;;;;;;;;x
light_aircraft_internal_mechanical_improvements_1;+10 Km Range;;;;;;;;;;;;;x
light_aircraft_internal_mechanical_improvements_2;+20 Km Range;;;;;;;;;;;;;x
light_aircraft_internal_mechanical_improvements_3;+30 Km Range;;;;;;;;;;;;;x
light_aircraft_internal_mechanical_improvements_4;+40 Km Range;;;;;;;;;;;;;x
light_aircraft_internal_mechanical_improvements_5;+50 Km Range;;;;;;;;;;;;;x
light_aircraft_internal_mechanical_improvements_6;+60 Km Range;;;;;;;;;;;;;x
light_aircraft_internal_mechanical_improvements_7;+70 Km Range;;;;;;;;;;;;;x
light_aircraft_internal_mechanical_improvements_8;+80 Km Range;;;;;;;;;;;;;x
light_aircraft_internal_mechanical_improvements_9;+90 Km Range;;;;;;;;;;;;;x
light_aircraft_internal_mechanical_improvements_10;+100 Km Range;;;;;;;;;;;;;x
light_aircraft_internal_mechanical_improvements_11;+110 Km Range;;;;;;;;;;;;;x
light_aircraft_internal_mechanical_improvements_12;+120 Km Range;;;;;;;;;;;;;x
### Light Aircraft Aerodynamic Improvements ###;;;;;;;;;;;;;;x
light_aircraft_aerodynamic_improvements_1;+0.1 G-Loading;;;;;;;;;;;;;x
light_aircraft_aerodynamic_improvements_2;+0.2 G-Loading;;;;;;;;;;;;;x
light_aircraft_aerodynamic_improvements_3;+0.3 G-Loading;;;;;;;;;;;;;x
light_aircraft_aerodynamic_improvements_4;+0.4 G-Loading;;;;;;;;;;;;;x
light_aircraft_aerodynamic_improvements_5;+0.5 G-Loading;;;;;;;;;;;;;x
light_aircraft_aerodynamic_improvements_6;+0.6 G-Loading;;;;;;;;;;;;;x
light_aircraft_aerodynamic_improvements_7;+0.7 G-Loading;;;;;;;;;;;;;x
light_aircraft_aerodynamic_improvements_8;+0.8 G-Loading;;;;;;;;;;;;;x
light_aircraft_aerodynamic_improvements_9;+0.9 G-Loading;;;;;;;;;;;;;x
light_aircraft_aerodynamic_improvements_10;+1.0 G-Loading;;;;;;;;;;;;;x
light_aircraft_aerodynamic_improvements_11;+1.3 G-Loading;;;;;;;;;;;;;x
light_aircraft_aerodynamic_improvements_12;+1.5 G-Loading;;;;;;;;;;;;;x
### Light Aircraft Armament Improvements ###;;;;;;;;;;;;;;x
light_aircraft_armament_improvements_1;+10m Gun Range;;;;;;;;;;;;;x
light_aircraft_armament_improvements_2;+15m Gun Range;;;;;;;;;;;;;x
light_aircraft_armament_improvements_3;+20m Gun Range;;;;;;;;;;;;;x
light_aircraft_armament_improvements_4;+25m Gun Range;;;;;;;;;;;;;x
light_aircraft_armament_improvements_5;+30m Gun Range;;;;;;;;;;;;;x
light_aircraft_armament_improvements_6;+35m Gun Range;;;;;;;;;;;;;x
light_aircraft_armament_improvements_7;+40m Gun Range;;;;;;;;;;;;;x
light_aircraft_armament_improvements_8;+45m Gun Range;;;;;;;;;;;;;x
light_aircraft_armament_improvements_9;+50m Gun Range;;;;;;;;;;;;;x
light_aircraft_armament_improvements_10;+55m Gun Range;;;;;;;;;;;;;x
light_aircraft_armament_improvements_11;+60m Gun Range;;;;;;;;;;;;;x
light_aircraft_armament_improvements_12;+65m Gun Range;;;;;;;;;;;;;x
### Light Aircraft Climatization Modifications ###;;;;;;;;;;;;;;x
light_aircraft_climatization_modifications_1;10% Efficient Air Filters;;;;;;;;;;;;;x
light_aircraft_climatization_modifications_2;20% Efficient Air Filters;;;;;;;;;;;;;x
light_aircraft_climatization_modifications_3;30% Efficient Air Filters;;;;;;;;;;;;;x
light_aircraft_climatization_modifications_4;40% Efficient Air Filters;;;;;;;;;;;;;x
light_aircraft_climatization_modifications_5;50% Efficient Air Filters;;;;;;;;;;;;;x
### Interceptor Focus ###;;;;;;;;;;;;;;x
interceptor_focus_1;Interceptor I;;;;;;;;;;;;;x
interceptor_focus_2;Interceptor II;;;;;;;;;;;;;x
interceptor_focus_3;Interceptor III;;;;;;;;;;;;;x
interceptor_focus_4;Interceptor IV;;;;;;;;;;;;;x
interceptor_focus_5;Interceptor V;;;;;;;;;;;;;x
interceptor_focus_6;Interceptor VI;;;;;;;;;;;;;x
interceptor_focus_7;Interceptor VII;;;;;;;;;;;;;x
interceptor_focus_8;Interceptor VIII;;;;;;;;;;;;;x
interceptor_focus_9;Interceptor IX;;;;;;;;;;;;;x
interceptor_focus_10;Interceptor X;;;;;;;;;;;;;x
interceptor_focus_11;Interceptor XI;;;;;;;;;;;;;x
interceptor_focus_12;Interceptor XII;;;;;;;;;;;;;x
interceptor_focus_13;Interceptor XIII;;;;;;;;;;;;;x
interceptor_focus_14;Interceptor XIV;;;;;;;;;;;;;x
interceptor_focus_15;Interceptor XV;;;;;;;;;;;;;x
### Multi-Role Fighter Focus ###;;;;;;;;;;;;;;x
multi_role_fighter_focus_1;Multi-Role I;;;;;;;;;;;;;x
multi_role_fighter_focus_2;Multi-Role II;;;;;;;;;;;;;x
multi_role_fighter_focus_3;Multi-Role III;;;;;;;;;;;;;x
multi_role_fighter_focus_4;Multi-Role IV;;;;;;;;;;;;;x
multi_role_fighter_focus_5;Multi-Role V;;;;;;;;;;;;;x
multi_role_fighter_focus_6;Multi-Role VI;;;;;;;;;;;;;x
multi_role_fighter_focus_7;Multi-Role VII;;;;;;;;;;;;;x
multi_role_fighter_focus_8;Multi-Role VIII;;;;;;;;;;;;;x
multi_role_fighter_focus_9;Multi-Role IX;;;;;;;;;;;;;x
multi_role_fighter_focus_10;Multi-Role X;;;;;;;;;;;;;x
multi_role_fighter_focus_11;Multi-Role XI;;;;;;;;;;;;;x
multi_role_fighter_focus_12;Multi-Role XII;;;;;;;;;;;;;x
multi_role_fighter_focus_13;Multi-Role XIII;;;;;;;;;;;;;x
multi_role_fighter_focus_14;Multi-Role XIV;;;;;;;;;;;;;x
multi_role_fighter_focus_15;Multi-Role XV;;;;;;;;;;;;;x
### Pursuit Fighter Focus ###;;;;;;;;;;;;;;x
pursuit_fighters_focus_1;Pursuit Fighter I;;;;;;;;;;;;;x
pursuit_fighters_focus_2;Pursuit Fighter II;;;;;;;;;;;;;x
pursuit_fighters_focus_3;Pursuit Fighter III;;;;;;;;;;;;;x
pursuit_fighters_focus_4;Pursuit Fighter IV;;;;;;;;;;;;;x
pursuit_fighters_focus_5;Pursuit Fighter V;;;;;;;;;;;;;x
pursuit_fighters_focus_6;Pursuit Fighter VI;;;;;;;;;;;;;x
pursuit_fighters_focus_7;Pursuit Fighter VII;;;;;;;;;;;;;x
pursuit_fighters_focus_8;Pursuit Fighter VIII;;;;;;;;;;;;;x
pursuit_fighters_focus_9;Pursuit Fighter IX;;;;;;;;;;;;;x
pursuit_fighters_focus_10;Pursuit Fighter X;;;;;;;;;;;;;x
pursuit_fighters_focus_11;Pursuit Fighter XI;;;;;;;;;;;;;x
pursuit_fighters_focus_12;Pursuit Fighter XII;;;;;;;;;;;;;x
pursuit_fighters_focus_13;Pursuit Fighter XIII;;;;;;;;;;;;;x
pursuit_fighters_focus_14;Pursuit Fighter XIV;;;;;;;;;;;;;x
pursuit_fighters_focus_15;Pursuit Fighter XV;;;;;;;;;;;;;x
### Fighter-Bomber Focus ###;;;;;;;;;;;;;;x
fighter_bombers_focus_1;Fighter Bomber I;;;;;;;;;;;;;x
fighter_bombers_focus_2;Fighter Bomber II;;;;;;;;;;;;;x
fighter_bombers_focus_3;Fighter Bomber III;;;;;;;;;;;;;x
fighter_bombers_focus_4;Fighter Bomber IV;;;;;;;;;;;;;x
fighter_bombers_focus_5;Fighter Bomber V;;;;;;;;;;;;;x
fighter_bombers_focus_6;Fighter Bomber VI;;;;;;;;;;;;;x
fighter_bombers_focus_7;Fighter Bomber VII;;;;;;;;;;;;;x
fighter_bombers_focus_8;Fighter Bomber VIII;;;;;;;;;;;;;x
fighter_bombers_focus_9;Fighter Bomber IX;;;;;;;;;;;;;x
fighter_bombers_focus_10;Fighter Bomber X;;;;;;;;;;;;;x
