MODEL_TAG;Model;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# COMMAND TECH MODELS;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
##########################################################################################;;;;;;;;;;;;;;x
### DVISION INCREASE ###;;;;;;;;;;;;;;x
##########################################################################################;;;;;;;;;;;;;;x
### MILITIA INCREASE ###;;;;;;;;;;;;;;x
militia_increase_1;+1 Company ;;;;;;;;;;;;;;x
militia_increase_2;+2 Companies ;;;;;;;;;;;;;;x
militia_increase_3;+3 Companies ;;;;;;;;;;;;;;x
militia_increase_4;+4 Companies ;;;;;;;;;;;;;;x
militia_increase_5;+5 Companies ;;;;;;;;;;;;;;x
militia_increase_6;+6 Companies ;;;;;;;;;;;;;;x
### INFANTRY INCREASE ###;;;;;;;;;;;;;;x
infantry_increase_1;+1 Company ;;;;;;;;;;;;;;x
infantry_increase_2;+2 Companies ;;;;;;;;;;;;;;x
infantry_increase_3;+3 Companies ;;;;;;;;;;;;;;x
infantry_increase_4;+4 Companies ;;;;;;;;;;;;;;x
infantry_increase_5;+5 Companies ;;;;;;;;;;;;;;x
infantry_increase_6;+6 Companies ;;;;;;;;;;;;;;x
### SPECIAL FORCES INCREASE ###;;;;;;;;;;;;;;x
special_forces_increase_1;+1 Company ;;;;;;;;;;;;;;x
special_forces_increase_2;+2 Companies ;;;;;;;;;;;;;;x
special_forces_increase_3;+3 Companies ;;;;;;;;;;;;;;x
special_forces_increase_4;+4 Companies ;;;;;;;;;;;;;;x
special_forces_increase_5;+5 Companies ;;;;;;;;;;;;;;x
special_forces_increase_6;+6 Companies ;;;;;;;;;;;;;;x
### MOBILE INCREASE ###;;;;;;;;;;;;;;x
mobile_increase_1;+1 Company ;;;;;;;;;;;;;;x
mobile_increase_2;+2 Companies ;;;;;;;;;;;;;;x
mobile_increase_3;+3 Companies ;;;;;;;;;;;;;;x
mobile_increase_4;+4 Companies ;;;;;;;;;;;;;;x
mobile_increase_5;+5 Companies ;;;;;;;;;;;;;;x
mobile_increase_6;+6 Companies ;;;;;;;;;;;;;;x
### ARMOR INCREASE ###;;;;;;;;;;;;;;x
armor_increase_1;+1 Company ;;;;;;;;;;;;;;x
armor_increase_2;+2 Companies ;;;;;;;;;;;;;;x
armor_increase_3;+3 Companies ;;;;;;;;;;;;;;x
armor_increase_4;+4 Companies ;;;;;;;;;;;;;;x
armor_increase_5;+5 Companies ;;;;;;;;;;;;;;x
armor_increase_6;+6 Companies ;;;;;;;;;;;;;;x
### RECON INCREASE ###;;;;;;;;;;;;;;x
recon_increase_1;+1 Company ;;;;;;;;;;;;;;x
recon_increase_2;+2 Companies ;;;;;;;;;;;;;;x
recon_increase_3;+3 Companies ;;;;;;;;;;;;;;x
recon_increase_4;+4 Companies ;;;;;;;;;;;;;;x
recon_increase_5;+5 Companies ;;;;;;;;;;;;;;x
recon_increase_6;+6 Companies ;;;;;;;;;;;;;;x
### ARTILLERY INCREASE ###;;;;;;;;;;;;;;x
artillery_increase_1;+1 Battery;;;;;;;;;;;;;;x
artillery_increase_2;+2 Batteries ;;;;;;;;;;;;;;x
artillery_increase_3;+3 Batteries ;;;;;;;;;;;;;;x
artillery_increase_4;+4 Batteries ;;;;;;;;;;;;;;x
artillery_increase_5;+5 Batteries ;;;;;;;;;;;;;;x
artillery_increase_6;+6 Batteries ;;;;;;;;;;;;;;x
### ARMOR SUPPORT INCREASE ###;;;;;;;;;;;;;;x
armorsupport_increase_1;+1 Company ;;;;;;;;;;;;;;x
