MODEL_TAG;Model;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# LAND TECH MODELS;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
##########################################################################;;;;;;;;;;;;;;x
##########################################################################;;;;;;;;;;;;;;x
##########################################################################;;;;;;;;;;;;;;x
### MINOR NATIONS ###;;;;;;;;;;;;;;x
##########################################################################;;;;;;;;;;;;;;x
##########################################################################;;;;;;;;;;;;;;x
##########################################################################;;;;;;;;;;;;;;x
##########################################################################################;;;;;;;;;;;;;;x
### INFANTRY TECHNOLOGIES ###;;;;;;;;;;;;;;x
##########################################################################################;;;;;;;;;;;;;;x
### RIFLE PROTOTYPE ###;;;;;;;;;;;;;;x
rifle_prototype_1;Bolt Action Rifle I;;;;;;;;;;;;;x
rifle_prototype_2;Bolt Action Rifle II;;;;;;;;;;;;;x
rifle_prototype_3;Bolt Action Rifle III;;;;;;;;;;;;;x
## SEMI-AUTOMATIC RIFLES ###;;;;;;;;;;;;;;x
carbine_prototype_1;Semi-Automatic Rifle I;;;;;;;;;;;;;x
carbine_prototype_2;Semi-Automatic Rifle II;;;;;;;;;;;;;x
carbine_prototype_3;Semi-Automatic Rifle III;;;;;;;;;;;;;x
carbine_prototype_4;Semi-Automatic Rifle IV;;;;;;;;;;;;;x
carbine_prototype_5;Semi-Automatic Rifle V;;;;;;;;;;;;;x
carbine_prototype_6;Semi-Automatic Rifle VI;;;;;;;;;;;;;x
carbine_prototype_7;Semi-Automatic Rifle VII;;;;;;;;;;;;;x
## SUBMACHINEGUNS PROTOTYPES ###;;;;;;;;;;;;;;x
submachineguns_prototype_1;Submachine Guns I;;;;;;;;;;;;;x
submachineguns_prototype_2;Submachine Guns II;;;;;;;;;;;;;x
submachineguns_prototype_3;Submachine Guns III;;;;;;;;;;;;;x
submachineguns_prototype_4;Submachine Guns IV;;;;;;;;;;;;;x
submachineguns_prototype_5;Submachine Guns V;;;;;;;;;;;;;x
submachineguns_prototype_6;Submachine Guns VI;;;;;;;;;;;;;x
submachineguns_prototype_7;Submachine Guns VII;;;;;;;;;;;;;x
## ASSAULT RIFLES PROTOTYPE ###;;;;;;;;;;;;;;x
assault_rifles_prototype_1;Assault Rifle I;;;;;;;;;;;;;x
assault_rifles_prototype_2;Assault Rifle II;;;;;;;;;;;;;x
assault_rifles_prototype_3;Assault Rifle III;;;;;;;;;;;;;x
### SEMI-AUTOMATIC RIFLE DISTRIBUTION ###;;;;;;;;;;;;;;x
semi_automatic_rifle_distribution_1;40% Distributed;;;;;;;;;;;;;x
semi_automatic_rifle_distribution_2;45% Distributed;;;;;;;;;;;;;x
semi_automatic_rifle_distribution_3;50% Distributed;;;;;;;;;;;;;x
semi_automatic_rifle_distribution_4;55% Distributed;;;;;;;;;;;;;x
semi_automatic_rifle_distribution_5;60% Distributed;;;;;;;;;;;;;x
semi_automatic_rifle_distribution_6;65% Distributed;;;;;;;;;;;;;x
semi_automatic_rifle_distribution_7;70% Distributed;;;;;;;;;;;;;x
semi_automatic_rifle_distribution_8;75% Distributed;;;;;;;;;;;;;x
semi_automatic_rifle_distribution_9;80% Distributed;;;;;;;;;;;;;x
semi_automatic_rifle_distribution_10;85% Distributed;;;;;;;;;;;;;x
semi_automatic_rifle_distribution_11;90% Distributed;;;;;;;;;;;;;x
semi_automatic_rifle_distribution_12;95% Distributed;;;;;;;;;;;;;x
### SUBMACHINEGUNS DISTRIBUTION ###;;;;;;;;;;;;;;x
submachinegun_distribution_1;40% Distributed;;;;;;;;;;;;;x
submachinegun_distribution_2;45% Distributed;;;;;;;;;;;;;x
submachinegun_distribution_3;50% Distributed;;;;;;;;;;;;;x
submachinegun_distribution_4;55% Distributed;;;;;;;;;;;;;x
submachinegun_distribution_5;60% Distributed;;;;;;;;;;;;;x
submachinegun_distribution_6;65% Distributed;;;;;;;;;;;;;x
submachinegun_distribution_7;70% Distributed;;;;;;;;;;;;;x
submachinegun_distribution_8;75% Distributed;;;;;;;;;;;;;x
submachinegun_distribution_9;80% Distributed;;;;;;;;;;;;;x
submachinegun_distribution_10;85% Distributed;;;;;;;;;;;;;x
submachinegun_distribution_11;90% Distributed;;;;;;;;;;;;;x
submachinegun_distribution_12;95% Distributed;;;;;;;;;;;;;x
### ASSAULT RIFLE DISTRIBUTION ###;;;;;;;;;;;;;;x
assault_rifle_distribution_1;40% Distributed;;;;;;;;;;;;;x 
assault_rifle_distribution_2;45% Distributed;;;;;;;;;;;;;x 
assault_rifle_distribution_3;50% Distributed;;;;;;;;;;;;;x 
assault_rifle_distribution_4;55% Distributed;;;;;;;;;;;;;x 
assault_rifle_distribution_5;60% Distributed;;;;;;;;;;;;;x 
assault_rifle_distribution_6;65% Distributed;;;;;;;;;;;;;x 
assault_rifle_distribution_7;70% Distributed;;;;;;;;;;;;;x 
assault_rifle_distribution_8;75% Distributed;;;;;;;;;;;;;x 
assault_rifle_distribution_9;80% Distributed;;;;;;;;;;;;;x 
assault_rifle_distribution_10;85% Distributed;;;;;;;;;;;;;x 
assault_rifle_distribution_11;90% Distributed;;;;;;;;;;;;;x 
assault_rifle_distribution_12;95% Distributed;;;;;;;;;;;;;x 
### LIGHT MACHINE GUN DISTRIBUTION ###;;;;;;;;;;;;;;x
lmg_distribution_1;40% Distributed;;;;;;;;;;;;;x 
lmg_distribution_2;45% Distributed;;;;;;;;;;;;;x 
lmg_distribution_3;50% Distributed;;;;;;;;;;;;;x 
lmg_distribution_4;55% Distributed;;;;;;;;;;;;;x 
lmg_distribution_5;60% Distributed;;;;;;;;;;;;;x 
lmg_distribution_6;65% Distributed;;;;;;;;;;;;;x 
lmg_distribution_7;70% Distributed;;;;;;;;;;;;;x 
lmg_distribution_8;75% Distributed;;;;;;;;;;;;;x 
lmg_distribution_9;80% Distributed;;;;;;;;;;;;;x 
lmg_distribution_10;85% Distributed;;;;;;;;;;;;;x 
lmg_distribution_11;90% Distributed;;;;;;;;;;;;;x 
lmg_distribution_12;95% Distributed;;;;;;;;;;;;;x 
### Light Machine Gun Prototype ###;;;;;;;;;;;;;;x
lmg_prototype_1;Light Machine Gun I;;;;;;;;;;;;;;x
lmg_prototype_2;Light Machine Gun II;;;;;;;;;;;;;;x
lmg_prototype_3;Light Machine Gun III;;;;;;;;;;;;;;x
lmg_prototype_4;Light Machine Gun IV;;;;;;;;;;;;;;x
lmg_prototype_5;Light Machine Gun V;;;;;;;;;;;;;;x
lmg_prototype_6;Light Machine Gun VI;;;;;;;;;;;;;;x
### Light Machine Gun Prototype ###;;;;;;;;;;;;;;x
hmg_prototype_1;Heavy Machine Gun I;;;;;;;;;;;;;;x
hmg_prototype_2;Heavy Machine Gun II;;;;;;;;;;;;;;x
hmg_prototype_3;Heavy Machine Gun III;;;;;;;;;;;;;;x
### Mortar Prototype ###;;;;;;;;;;;;;;x
mortar_prototype_1;Mortar I;;;;;;;;;;;;;;x
mortar_prototype_2;Mortar II;;;;;;;;;;;;;;x
mortar_prototype_3;Mortar III;;;;;;;;;;;;;;x
mortar_prototype_4;Mortar IV;;;;;;;;;;;;;;x
### AT Rifle Prototype ###;;;;;;;;;;;;;;x
anti_tank_rifle_prototype_1;AT Rifle I;;;;;;;;;;;;;;x
anti_tank_rifle_prototype_2;AT Rifle II;;;;;;;;;;;;;;x
### Rocket AT Prototype ###;;;;;;;;;;;;;;x
rocket_at_prototype_1;Rocket AT I;;;;;;;;;;;;;;x
rocket_at_prototype_2;Rocket AT II;;;;;;;;;;;;;;x
rocket_at_prototype_3;Rocket AT III;;;;;;;;;;;;;;x
### FLAMETHROWER PROTOTYPE ###;;;;;;;;;;;;;;x
flamethrower_prototype_1;Portable No.2;;;;;;;;;;;;;;;x
### ENGINEER BATTALION ###;;;;;;;;;;;;;;x
engineer_battalion_1;Sapper Battalion I;;;;;;;;;;;;;;x
engineer_battalion_2;Sapper Battalion II;;;;;;;;;;;;;;x
engineer_battalion_3;Sapper Battalion III;;;;;;;;;;;;;;x
engineer_battalion_4;Sapper Battalion IV;;;;;;;;;;;;;;x
engineer_battalion_5;Sapper Battalion V;;;;;;;;;;;;;;x
engineer_battalion_6;Sapper Battalion VI;;;;;;;;;;;;;;x
### BRIDGE CROSSING EQUIPMENT ###;;;;;;;;;;;;;;x
bridge_crossing_equipment_1;Foot Bridge;;;;;;;;;;;;;;x
bridge_crossing_equipment_2;Pontoon Bridge;;;;;;;;;;;;;;x
bridge_crossing_equipment_3;Infantry Support Raft;;;;;;;;;;;;;;x
bridge_crossing_equipment_4;Assault Boats;;;;;;;;;;;;;;x
bridge_crossing_equipment_5;Infantry Support Ferries;;;;;;;;;;;;;;x
bridge_crossing_equipment_6;Pneumatic Bridge;;;;;;;;;;;;;;x
### ANTI-PERSONNEL MINES ###;;;;;;;;;;;;;;x
anti_personnel_mines_1;Blast Mine;;;;;;;;;;;;;;x
anti_personnel_mines_2;Fragmentation Mine;;;;;;;;;;;;;;x
anti_personnel_mines_3;Flame Fougasse;;;;;;;;;;;;;;x
anti_personnel_mines_4;Glass Mine;;;;;;;;;;;;;;x
anti_personnel_mines_5;Booby Traps;;;;;;;;;;;;;;x
### ANTI-TANK MINES ###;;;;;;;;;;;;;;x
anti_tank_mines_1;Blast AT Mine;;;;;;;;;;;;;;x
anti_tank_mines_2;Metal Cased AT Mine;;;;;;;;;;;;;;x
anti_tank_mines_3;Wooden AT Mine;;;;;;;;;;;;;;x
anti_tank_mines_4;Hawkins Mine;;;;;;;;;;;;;;x
anti_tank_mines_5;L9 Bar Mine ;;;;;;;;;;;;;;x
### DEMOLITIONS ###;;;;;;;;;;;;;;x
demolitions_1;TNT Satchel Charge;;;;;;;;;;;;;;x
demolitions_2;Plastic Explosives No.808;;;;;;;;;;;;;;x
demolitions_3;Bagalore Torpedo;;;;;;;;;;;;;;x
demolitions_4;Sticky Bombs;;;;;;;;;;;;;;x
demolitions_5;Gammon Grenades;;;;;;;;;;;;;;x
### ARMORED ENGINEERS ###;;;;;;;;;;;;;;x
armoured_engineers_1;Armored Sapper Battalion I;;;;;;;;;;;;;;x
armoured_engineers_2;Armored Sapper Battalion II;;;;;;;;;;;;;;x
armoured_engineers_3;Armored Sapper Battalion II;;;;;;;;;;;;;;x
### DIVISION MAINTENANCE COMPANY ###;;;;;;;;;;;;;;x
division_maintenance_company_1;Field Maintenance Company I;;;;;;;;;;;;;;x
division_maintenance_company_2;Field Maintenance Company II;;;;;;;;;;;;;;x
division_maintenance_company_3;Field Maintenance Company III;;;;;;;;;;;;;;x
division_maintenance_company_4;Field Maintenance Company IV;;;;;;;;;;;;;;x
division_maintenance_company_5;Field Maintenance Company V;;;;;;;;;;;;;;x
division_maintenance_company_6;Field Maintenance Company VI;;;;;;;;;;;;;;x
division_maintenance_company_7;Field Maintenance Company VII;;;;;;;;;;;;;;x
division_maintenance_company_8;Field Maintenance Company VIII;;;;;;;;;;;;;;x
division_maintenance_company_9;Field Maintenance Company IX;;;;;;;;;;;;;;x
division_maintenance_company_10;Field Maintenance Company X;;;;;;;;;;;;;;x
### DIVISION SUPPLY COMPANY ###;;;;;;;;;;;;;;x
division_supply_company_1;Field Supply Company I;;;;;;;;;;;;;;x
division_supply_company_2;Field Supply Company II;;;;;;;;;;;;;;x
division_supply_company_3;Field Supply Company III;;;;;;;;;;;;;;x
division_supply_company_4;Field Supply Company IV;;;;;;;;;;;;;;x
division_supply_company_5;Field Supply Company V;;;;;;;;;;;;;;x
division_supply_company_6;Field Supply Company VI;;;;;;;;;;;;;;x
division_supply_company_7;Field Supply Company VII;;;;;;;;;;;;;;x
division_supply_company_8;Field Supply Company VIII;;;;;;;;;;;;;;x
division_supply_company_9;Field Supply Company IX;;;;;;;;;;;;;;x
division_supply_company_10;Field Supply Company X;;;;;;;;;;;;;;x
### DIVISION MEDICAL COMPANY ###;;;;;;;;;;;;;;x
division_medical_company_1;Field Medical Company I;;;;;;;;;;;;;;x
division_medical_company_2;Field Medical Company II;;;;;;;;;;;;;;x
division_medical_company_3;Field Medical Company III;;;;;;;;;;;;;;x
division_medical_company_4;Field Medical Company IV;;;;;;;;;;;;;;x
