################################################;;;;;;;;;;;;;;x
# New Land Unit Model Names;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Minor Army ;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
### Infantry ###;;;;;;;;;;;;;;x
infantry_brigade_0;Infantry I;;;;;;;;;;;;;x
infantry_brigade_1;Infantry II;;;;;;;;;;;;;x
infantry_brigade_2;Infantry III;;;;;;;;;;;;;x
infantry_brigade_3;Infantry IV;;;;;;;;;;;;;x
infantry_brigade_4;Infantry V;;;;;;;;;;;;;x
infantry_brigade_5;Infantry VI;;;;;;;;;;;;;x
infantry_brigade_6;Infantry VII;;;;;;;;;;;;;x
infantry_brigade_7;Infantry VIII;;;;;;;;;;;;;x
infantry_brigade_8;Infantry IX;;;;;;;;;;;;;x
infantry_brigade_9;Infantry X;;;;;;;;;;;;;x
infantry_brigade_10;Infantry XI;;;;;;;;;;;;;x
infantry_brigade_11;Infantry XII;;;;;;;;;;;;;x
### Colonial Line Infantry ###;;;;;;;;;;;;;;x
colonial_infantry_brigade_0;Colonial Infantry I;;;;;;;;;;;;;x
colonial_infantry_brigade_1;Colonial Infantry II;;;;;;;;;;;;;x
colonial_infantry_brigade_2;Colonial Infantry III;;;;;;;;;;;;;x
colonial_infantry_brigade_3;Colonial Infantry IV;;;;;;;;;;;;;x
colonial_infantry_brigade_4;Colonial Infantry V;;;;;;;;;;;;;x
colonial_infantry_brigade_5;Colonial Infantry VI;;;;;;;;;;;;;x
colonial_infantry_brigade_6;Colonial Infantry VII;;;;;;;;;;;;;x
colonial_infantry_brigade_7;Colonial Infantry VIII;;;;;;;;;;;;;x
colonial_infantry_brigade_8;Colonial Infantry IX;;;;;;;;;;;;;x
colonial_infantry_brigade_9;Colonial Infantry X;;;;;;;;;;;;;x
colonial_infantry_brigade_10;Colonial Infantry XI;;;;;;;;;;;;;x
colonial_infantry_brigade_11;Colonial Infantry XII;;;;;;;;;;;;;x
### Infantry Battalion ###;;;;;;;;;;;;;;x
infantry_bat_0;Infantry I;;;;;;;;;;;;;x
infantry_bat_1;Infantry II;;;;;;;;;;;;;x
infantry_bat_2;Infantry III;;;;;;;;;;;;;x
infantry_bat_3;Infantry IV;;;;;;;;;;;;;x
infantry_bat_4;Infantry V;;;;;;;;;;;;;x
infantry_bat_5;Infantry VI;;;;;;;;;;;;;x
infantry_bat_6;Infantry VII;;;;;;;;;;;;;x
infantry_bat_7;Infantry VIII;;;;;;;;;;;;;x
infantry_bat_8;Infantry IX;;;;;;;;;;;;;x
infantry_bat_9;Infantry X;;;;;;;;;;;;;x
infantry_bat_10;Infantry XI;;;;;;;;;;;;;x
infantry_bat_11;Infantry XII;;;;;;;;;;;;;x
### Militia ###;;;;;;;;;;;;;;x
militia_brigade_0;Militia I;;;;;;;;;;;;;x
militia_brigade_1;Militia II;;;;;;;;;;;;;x
militia_brigade_2;Militia III;;;;;;;;;;;;;x
militia_brigade_3;Militia IV;;;;;;;;;;;;;x
militia_brigade_4;Militia V;;;;;;;;;;;;;x
militia_brigade_5;Militia VI;;;;;;;;;;;;;x
militia_brigade_6;Militia VII;;;;;;;;;;;;;x
militia_brigade_7;Militia VIII;;;;;;;;;;;;;x
militia_brigade_8;Militia IX;;;;;;;;;;;;;x
militia_brigade_9;Militia X;;;;;;;;;;;;;x
militia_brigade_10;Militia XI;;;;;;;;;;;;;x
militia_brigade_11;Militia XII;;;;;;;;;;;;;x
### Colonial Militia ###;;;;;;;;;;;;;;x
colonial_militia_brigade_0;Colonial Militia I;;;;;;;;;;;;;x
colonial_militia_brigade_1;Colonial Militia II;;;;;;;;;;;;;x
colonial_militia_brigade_2;Colonial Militia III;;;;;;;;;;;;;x
colonial_militia_brigade_3;Colonial Militia IV;;;;;;;;;;;;;x
colonial_militia_brigade_4;Colonial Militia V;;;;;;;;;;;;;x
colonial_militia_brigade_5;Colonial Militia VI;;;;;;;;;;;;;x
colonial_militia_brigade_6;Colonial Militia VII;;;;;;;;;;;;;x
colonial_militia_brigade_7;Colonial Militia VIII;;;;;;;;;;;;;x
colonial_militia_brigade_8;Colonial Militia IX;;;;;;;;;;;;;x
colonial_militia_brigade_9;Colonial Militia X;;;;;;;;;;;;;x
colonial_militia_brigade_10;Colonial Militia XI;;;;;;;;;;;;;x
colonial_militia_brigade_11;Colonial Militia XII;;;;;;;;;;;;;x
### Colonial Garrison ###;;;;;;;;;;;;;;x
colonial_garrison_brigade_0;Colonial Garrison I;;;;;;;;;;;;;x
colonial_garrison_brigade_1;Colonial Garrison II;;;;;;;;;;;;;x
colonial_garrison_brigade_2;Colonial Garrison III;;;;;;;;;;;;;x
colonial_garrison_brigade_3;Colonial Garrison IV;;;;;;;;;;;;;x
colonial_garrison_brigade_4;Colonial Garrison V;;;;;;;;;;;;;x
colonial_garrison_brigade_5;Colonial Garrison VI;;;;;;;;;;;;;x
colonial_garrison_brigade_6;Colonial Garrison VII;;;;;;;;;;;;;x
colonial_garrison_brigade_7;Colonial Garrison VIII;;;;;;;;;;;;;x
colonial_garrison_brigade_8;Colonial Garrison IX;;;;;;;;;;;;;x
colonial_garrison_brigade_9;Colonial Garrison X;;;;;;;;;;;;;x
colonial_garrison_brigade_10;Colonial Garrison XI;;;;;;;;;;;;;x
colonial_garrison_brigade_11;Colonial Garrison XII;;;;;;;;;;;;;x
### Garrison ###;;;;;;;;;;;;;;x
garrison_brigade_0;Garrison I;;;;;;;;;;;;;x
garrison_brigade_1;Garrison II;;;;;;;;;;;;;x
garrison_brigade_2;Garrison III;;;;;;;;;;;;;x
garrison_brigade_3;Garrison IV;;;;;;;;;;;;;x
garrison_brigade_4;Garrison V;;;;;;;;;;;;;x
garrison_brigade_5;Garrison VI;;;;;;;;;;;;;x
garrison_brigade_6;Garrison VII;;;;;;;;;;;;;x
garrison_brigade_7;Garrison VIII;;;;;;;;;;;;;x
garrison_brigade_8;Garrison IX;;;;;;;;;;;;;x
garrison_brigade_9;Garrison X;;;;;;;;;;;;;x
garrison_brigade_10;Garrison XI;;;;;;;;;;;;;x
garrison_brigade_11;Garrison XII;;;;;;;;;;;;;x
### Garrison Battalion ###;;;;;;;;;;;;;;x
garrison_detachment_0;Garrison I;;;;;;;;;;;;;x
garrison_detachment_1;Garrison II;;;;;;;;;;;;;x
garrison_detachment_2;Garrison III;;;;;;;;;;;;;x
garrison_detachment_3;Garrison IV;;;;;;;;;;;;;x
garrison_detachment_4;Garrison V;;;;;;;;;;;;;x
garrison_detachment_5;Garrison VI;;;;;;;;;;;;;x
garrison_detachment_6;Garrison VII;;;;;;;;;;;;;x
garrison_detachment_7;Garrison VIII;;;;;;;;;;;;;x
garrison_detachment_8;Garrison IX;;;;;;;;;;;;;x
garrison_detachment_9;Garrison X;;;;;;;;;;;;;x
garrison_detachment_10;Garrison XI;;;;;;;;;;;;;x
garrison_detachment_11;Garrison XII;;;;;;;;;;;;;x
### Light Infantry ###;;;;;;;;;;;;;;x
light_infantry_brigade_0;Light Infantry I;;;;;;;;;;;;;x
light_infantry_brigade_1;Light Infantry II;;;;;;;;;;;;;x
light_infantry_brigade_2;Light Infantry III;;;;;;;;;;;;;x
light_infantry_brigade_3;Light Infantry IV;;;;;;;;;;;;;x
light_infantry_brigade_4;Light Infantry V;;;;;;;;;;;;;x
light_infantry_brigade_5;Light Infantry VI;;;;;;;;;;;;;x
light_infantry_brigade_6;Light Infantry VII;;;;;;;;;;;;;x
light_infantry_brigade_7;Light Infantry VIII;;;;;;;;;;;;;x
light_infantry_brigade_8;Light Infantry IX;;;;;;;;;;;;;x
light_infantry_brigade_9;Light Infantry X;;;;;;;;;;;;;x
light_infantry_brigade_10;Light Infantry XI;;;;;;;;;;;;;x
light_infantry_brigade_11;Light Infantry XII;;;;;;;;;;;;;x
### Colonial Light Infantry ###;;;;;;;;;;;;;;x
colonial_light_infantry_brigade_0;Colonial Light Infantry I;;;;;;;;;;;;;x
colonial_light_infantry_brigade_1;Colonial Light Infantry II;;;;;;;;;;;;;x
colonial_light_infantry_brigade_2;Colonial Light Infantry III;;;;;;;;;;;;;x
colonial_light_infantry_brigade_3;Colonial Light Infantry IV;;;;;;;;;;;;;x
colonial_light_infantry_brigade_4;Colonial Light Infantry V;;;;;;;;;;;;;x
colonial_light_infantry_brigade_5;Colonial Light Infantry VI;;;;;;;;;;;;;x
colonial_light_infantry_brigade_6;Colonial Light Infantry VII;;;;;;;;;;;;;x
colonial_light_infantry_brigade_7;Colonial Light Infantry VIII;;;;;;;;;;;;;x
colonial_light_infantry_brigade_8;Colonial Light Infantry IX;;;;;;;;;;;;;x
colonial_light_infantry_brigade_9;Colonial Light Infantry X;;;;;;;;;;;;;x
colonial_light_infantry_brigade_10;Colonial Light Infantry XI;;;;;;;;;;;;;x
colonial_light_infantry_brigade_11;Colonial Light Infantry XII;;;;;;;;;;;;;x
### Semi-Motorized Infantry ###;;;;;;;;;;;;;;x
semi_motorized_brigade_0;Infantry I;;;;;;;;;;;;;x
semi_motorized_brigade_1;Infantry II;;;;;;;;;;;;;x
semi_motorized_brigade_2;Infantry III;;;;;;;;;;;;;x
semi_motorized_brigade_3;Infantry IV;;;;;;;;;;;;;x
semi_motorized_brigade_4;Infantry V;;;;;;;;;;;;;x
semi_motorized_brigade_5;Infantry VI;;;;;;;;;;;;;x
semi_motorized_brigade_6;Infantry VII;;;;;;;;;;;;;x
semi_motorized_brigade_7;Infantry VIII;;;;;;;;;;;;;x
semi_motorized_brigade_8;Infantry IX;;;;;;;;;;;;;x
semi_motorized_brigade_9;Infantry X;;;;;;;;;;;;;x
semi_motorized_brigade_10;Infantry XI;;;;;;;;;;;;;x
semi_motorized_brigade_11;Infantry XII;;;;;;;;;;;;;x
### Motorized Infantry ###;;;;;;;;;;;;;;x
motorized_brigade_0;Infantry I;;;;;;;;;;;;;x
motorized_brigade_1;Infantry II;;;;;;;;;;;;;x
motorized_brigade_2;Infantry III;;;;;;;;;;;;;x
motorized_brigade_3;Infantry IV;;;;;;;;;;;;;x
motorized_brigade_4;Infantry V;;;;;;;;;;;;;x
motorized_brigade_5;Infantry VI;;;;;;;;;;;;;x
motorized_brigade_6;Infantry VII;;;;;;;;;;;;;x
motorized_brigade_7;Infantry VIII;;;;;;;;;;;;;x
motorized_brigade_8;Infantry IX;;;;;;;;;;;;;x
motorized_brigade_9;Infantry X;;;;;;;;;;;;;x
motorized_brigade_10;Infantry XI;;;;;;;;;;;;;x
motorized_brigade_11;Infantry XII;;;;;;;;;;;;;x
### Motorized Infantry Battalion ###;;;;;;;;;;;;;;x
motorized_infantry_bat_0;Infantry I;;;;;;;;;;;;;x
motorized_infantry_bat_1;Infantry II;;;;;;;;;;;;;x
motorized_infantry_bat_2;Infantry III;;;;;;;;;;;;;x
motorized_infantry_bat_3;Infantry IV;;;;;;;;;;;;;x
motorized_infantry_bat_4;Infantry V;;;;;;;;;;;;;x
motorized_infantry_bat_5;Infantry VI;;;;;;;;;;;;;x
motorized_infantry_bat_6;Infantry VII;;;;;;;;;;;;;x
motorized_infantry_bat_7;Infantry VIII;;;;;;;;;;;;;x
motorized_infantry_bat_8;Infantry IX;;;;;;;;;;;;;x
motorized_infantry_bat_9;Infantry X;;;;;;;;;;;;;x
motorized_infantry_bat_10;Infantry XI;;;;;;;;;;;;;x
motorized_infantry_bat_11;Infantry XII;;;;;;;;;;;;;x
### Mechanized Infantry ###;;;;;;;;;;;;;;x
mechanized_brigade_0;Mechanized Infantry I;;;;;;;;;;;;;x
