MODEL_TAG;Model;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# NAVAL TECH MODELS;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
#####################################;;;;;;;;;;;;;;x
### UNITED KINGDOM ###;;;;;;;;;;;;;;x
#####################################;;;;;;;;;;;;;;x
##############################;;;;;;;;;;;;;;x
### SUBMARINE TECHNOLOGIES ###;;;;;;;;;;;;;;x
##############################;;;;;;;;;;;;;;x
### SUBMARINE CLASS ###;;;;;;;;;;;;;;x
ENG_submarine_class_1;K Class;;;;;;;;;;;;;x
ENG_submarine_class_2;S Class;;;;;;;;;;;;;x
ENG_submarine_class_3;T Class;;;;;;;;;;;;;x
ENG_submarine_class_4;U Class;;;;;;;;;;;;;x
ENG_submarine_class_5;V Class;;;;;;;;;;;;;x
ENG_submarine_class_6;A Class;;;;;;;;;;;;;x
ENG_submarine_class_7;Explorer Class;;;;;;;;;;;;;x
### SUBMARINE PROPULSION ###;;;;;;;;;;;;;;x
ENG_submarine_propulsion_1;Diesel Engines I;;;;;;;;;;;;;;x
ENG_submarine_propulsion_2;Diesel Engines II;;;;;;;;;;;;;;x
ENG_submarine_propulsion_3;Diesel Engines III;;;;;;;;;;;;;;x
ENG_submarine_propulsion_4;Diesel Engines IV;;;;;;;;;;;;;;x
ENG_submarine_propulsion_5;Diesel Engines V;;;;;;;;;;;;;;x
ENG_submarine_propulsion_6;Diesel Engines VI;;;;;;;;;;;;;;x
ENG_submarine_propulsion_7;Diesel Engines VII;;;;;;;;;;;;;;x
ENG_submarine_propulsion_8;Diesel Engines VIII;;;;;;;;;;;;;;x
ENG_submarine_propulsion_9;Diesel Engines IX;;;;;;;;;;;;;;x
ENG_submarine_propulsion_10;Diesel Engines X;;;;;;;;;;;;;;x
ENG_submarine_propulsion_11;Diesel Engines XI;;;;;;;;;;;;;;x
ENG_submarine_propulsion_12;Diesel Engines XII;;;;;;;;;;;;;;x
### SUBMARINE PRESSURE HULL ###;;;;;;;;;;;;;;x
ENG_submarine_pressure_hull_1;Pressure Hull I;;;;;;;;;;;;;;x
ENG_submarine_pressure_hull_2;Pressure Hull II;;;;;;;;;;;;;;x
ENG_submarine_pressure_hull_3;Pressure Hull III;;;;;;;;;;;;;;x
ENG_submarine_pressure_hull_4;Pressure Hull IV;;;;;;;;;;;;;;x
ENG_submarine_pressure_hull_5;Pressure Hull V;;;;;;;;;;;;;;x
ENG_submarine_pressure_hull_6;Pressure Hull VI;;;;;;;;;;;;;;x
ENG_submarine_pressure_hull_7;Pressure Hull VII;;;;;;;;;;;;;;x
ENG_submarine_pressure_hull_8;Pressure Hull VIII;;;;;;;;;;;;;;x
ENG_submarine_pressure_hull_9;Pressure Hull IX;;;;;;;;;;;;;;x
ENG_submarine_pressure_hull_10;Pressure Hull X;;;;;;;;;;;;;;x
ENG_submarine_pressure_hull_11;Pressure Hull XI;;;;;;;;;;;;;;x
### SUBMARINE BATTERIES ###;;;;;;;;;;;;;;x
ENG_submarine_batteries_1;Batteries I;;;;;;;;;;;;;;x
ENG_submarine_batteries_2;Batteries II;;;;;;;;;;;;;;x
ENG_submarine_batteries_3;Batteries III;;;;;;;;;;;;;;x
ENG_submarine_batteries_4;Batteries IV;;;;;;;;;;;;;;x
ENG_submarine_batteries_5;Batteries V;;;;;;;;;;;;;;x
ENG_submarine_batteries_6;Batteries VI;;;;;;;;;;;;;;x
ENG_submarine_batteries_7;Batteries VII;;;;;;;;;;;;;;x
ENG_submarine_batteries_8;Batteries VIII;;;;;;;;;;;;;;x
ENG_submarine_batteries_9;Batteries IX;;;;;;;;;;;;;;x
ENG_submarine_batteries_10;Batteries X;;;;;;;;;;;;;;x
ENG_submarine_batteries_11;Batteries XI;;;;;;;;;;;;;;x
### SUBMARINE ANTI-AIR ###;;;;;;;;;;;;;;x
ENG_submarine_anti_air_1;AA Guns I;;;;;;;;;;;;;;x
ENG_submarine_anti_air_2;AA Guns II;;;;;;;;;;;;;;x
ENG_submarine_anti_air_3;AA Guns III;;;;;;;;;;;;;;x
ENG_submarine_anti_air_4;AA Guns IV;;;;;;;;;;;;;;x
### SUBMARINE TORPEDO TUBES ###;;;;;;;;;;;;;;x
ENG_submarine_torpedo_tubes_1;Torpedo Tubes I;;;;;;;;;;;;;;x
ENG_submarine_torpedo_tubes_2;Torpedo Tubes II;;;;;;;;;;;;;;x
ENG_submarine_torpedo_tubes_3;Torpedo Tubes III;;;;;;;;;;;;;;x
ENG_submarine_torpedo_tubes_4;Torpedo Tubes IV;;;;;;;;;;;;;;x
ENG_submarine_torpedo_tubes_5;Torpedo Tubes V;;;;;;;;;;;;;;x
