#########################################################;;;;;;;;;;;;;;x;
##### NAVAL MODELS #################################;;;;;;;;;;;;;;x;
#########################################################;;;;;;;;;;;;;;x;
#########################################;;;;;;;;;;;;;;x;
#### UNITED KINGDOM NAVAL SHIPS #;;;;;;;;;;;;;;x
#########################################;;;;;;;;;;;;;;x;
## Submarine #;;;;;;;;;;;;;;x
ENG_submarine_0;K Class;;;;;;;;;;;;;x
ENG_submarine_1;S Class;;;;;;;;;;;;;x
ENG_submarine_2;T Class;;;;;;;;;;;;;x
ENG_submarine_3;U Class;;;;;;;;;;;;;x
ENG_submarine_4;V Class;;;;;;;;;;;;;x
ENG_submarine_5;A Class;;;;;;;;;;;;;x
ENG_submarine_6;Explorer Class;;;;;;;;;;;;;x
## Destroyer #;;;;;;;;;;;;;;x
ENG_destroyer_actual_0;A-F Class;;;;;;;;;;;;;x
ENG_destroyer_actual_1;Tribal-Class;;;;;;;;;;;;;x
ENG_destroyer_actual_2;J,K, and N-Class;;;;;;;;;;;;;x
ENG_destroyer_actual_3;L and M-Class;;;;;;;;;;;;;x
ENG_destroyer_actual_4;O,P,Q, and R-Class;;;;;;;;;;;;;x
ENG_destroyer_actual_5;S,T,U, and V-Class;;;;;;;;;;;;;x
ENG_destroyer_actual_6;Battle-Class;;;;;;;;;;;;;x
## Light Cruiser #;;;;;;;;;;;;;;x
ENG_light_cruiser_0;Town-Class;;;;;;;;;;;;;x
ENG_light_cruiser_1;C/D-Class;;;;;;;;;;;;;x
ENG_light_cruiser_2;Emerald-Class;;;;;;;;;;;;;x
ENG_light_cruiser_3;Leander-Class;;;;;;;;;;;;;x
ENG_light_cruiser_4;Crown Colony-Class;;;;;;;;;;;;;x
ENG_light_cruiser_5;Minotaur-Class;;;;;;;;;;;;;x
ENG_light_cruiser_6;Tiger-Class;;;;;;;;;;;;;x
## Heavy Cruiser #;;;;;;;;;;;;;;x
ENG_heavy_cruiser_0;Hawkins-class;;;;;;;;;;;;;x
ENG_heavy_cruiser_1;York-class;;;;;;;;;;;;;x
ENG_heavy_cruiser_2;County-class;;;;;;;;;;;;;x
ENG_heavy_cruiser_3;Surrey-class;;;;;;;;;;;;;x
ENG_heavy_cruiser_4;Cromwell-class;;;;;;;;;;;;;x
ENG_heavy_cruiser_5;Churchill-class;;;;;;;;;;;;;x
## Battleship #;;;;;;;;;;;;;;x
ENG_battleship_0;Iron Duke-Class;;;;;;;;;;;;;x
ENG_battleship_1;Queen Elizabeth-Class;;;;;;;;;;;;;x
ENG_battleship_2;Revenge-Class;;;;;;;;;;;;;x
ENG_battleship_3;Nelson-Class;;;;;;;;;;;;;x
ENG_battleship_4;King George V-Class;;;;;;;;;;;;;x
ENG_battleship_5;Vanguard-Class;;;;;;;;;;;;;x
ENG_battleship_6;Lion-Class;;;;;;;;;;;;;x
## Battlecruiser #;;;;;;;;;;;;;;x
ENG_battlecruiser_0;Indefatigable-Class;;;;;;;;;;;;;x
ENG_battlecruiser_1;Renown-Class;;;;;;;;;;;;;x
ENG_battlecruiser_2;Admiral-Class;;;;;;;;;;;;;x
## Fleet Carrier #;;;;;;;;;;;;;;x
ENG_carrier_0;Furious-Class;;;;;;;;;;;;;x
ENG_carrier_1;Glorious-Class;;;;;;;;;;;;;x
ENG_carrier_2;Ark Royal-Class;;;;;;;;;;;;;x
ENG_carrier_3;Illustrious-Class;;;;;;;;;;;;;x
ENG_carrier_4;Implacable-Class;;;;;;;;;;;;;x
ENG_carrier_5;Audacious-Class;;;;;;;;;;;;;x
## Light Carrier #;;;;;;;;;;;;;;x
ENG_light_carrier_0;Hermes-Class;;;;;;;;;;;;;x
ENG_light_carrier_1;Eagle-Class;;;;;;;;;;;;;x
ENG_light_carrier_2;Unicorn-Class;;;;;;;;;;;;;x
## Escort Carrier #;;;;;;;;;;;;;;x
ENG_escort_carrier_0;Audacity-Class;;;;;;;;;;;;;x
ENG_escort_carrier_1;Attacker-Class;;;;;;;;;;;;;x
ENG_escort_carrier_2;Ruler-Class;;;;;;;;;;;;;x
ENG_escort_carrier_3;Nairana-Class;;;;;;;;;;;;;x
## Nuclear Submarine #;;;;;;;;;;;;;;x
ENG_nuclear_submarine_0;Dreadnought-Class;;;;;;;;;;;;;x
## Fast Attack Submarine #;;;;;;;;;;;;;;x
ENG_nuclear_fast_attack_submarine_0;Experimental Hunter/Killer Submarine;;;;;;;;;;;;;;x
ENG_nuclear_fast_attack_submarine_1;Valiant Class;;;;;;;;;;;;;;x
ENG_nuclear_fast_attack_submarine_2;Churchill Class;;;;;;;;;;;;;;x
## Ballistic Missile Submarine #;;;;;;;;;;;;;;x
ENG_nuclear_ballistic_missile_submarine_0;Experimental Ballistic Missile Submarine;;;;;;;;;;;;;;x
ENG_nuclear_ballistic_missile_submarine_1;Resolution Class;;;;;;;;;;;;;;x
ENG_nuclear_ballistic_missile_submarine_2;Resolution Class Mk II;;;;;;;;;;;;;;x
## Guided Missile Destroyer Class #;;;;;;;;;;;;;;x
ENG_guided_missile_destroyer_0;Bristol-Class;;;;;;;;;;;;;;x
ENG_guided_missile_destroyer_1;Liverpool-Class;;;;;;;;;;;;;;x
ENG_guided_missile_destroyer_2;County-Class;;;;;;;;;;;;;;x
ENG_guided_missile_destroyer_3;County-Class Mk II;;;;;;;;;;;;;;x
ENG_guided_missile_destroyer_4;Type 82-Class;;;;;;;;;;;;;;x
## Landing Ship Tank #;;;;;;;;;;;;;;x
ENG_landing_ship_tank_0;LST-Class;;;;;;;;;;;;;;x
## Landing Ship Dock #;;;;;;;;;;;;;;x
ENG_landing_ship_dock_0;Casa Grande-Class;;;;;;;;;;;;;;x
## Amphibious Transport Dock Ship #;;;;;;;;;;;;;;x
ENG_transport_dock_ship_0;Fearless-Class;;;;;;;;;;;;;;x
## Landing Platform Helicopter Ship #;;;;;;;;;;;;;;x
ENG_landing_platform_helicopter_0;Centaur-Class;;;;;;;;;;;;;;x
## Battlecarrier Class #;;;;;;;;;;;;;;x
ENG_battle_carrier_0;Audacious-Class;;;;;;;;;;;;;;x
