################################################;;;;;;;;;;;;;;x
# British New Aircraft Unit Model Names;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Fighter Aircraft ;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
ENG_interceptor_0;Gloster Gauntlet Mk.II;;;;;;;;;;;;;x
ENG_interceptor_1;Gloster Gladiator Mk.II;;;;;;;;;;;;;x
ENG_interceptor_4;Supermarine Spitfire Mk.I;;;;;;;;;;;;;x
ENG_interceptor_5;Supermarine Spitfire Mk.Ia;;;;;;;;;;;;;x
ENG_interceptor_6;Supermarine Spitfire Mk.IIb;;;;;;;;;;;;;x
ENG_interceptor_7;Supermarine Spitfire Mk.Vb;;;;;;;;;;;;;x
ENG_interceptor_8;Supermarine Spitfire Mk.IX;;;;;;;;;;;;;x
ENG_interceptor_9;Supermarine Spitfire Mk.VIII;;;;;;;;;;;;;x
ENG_interceptor_10;Supermarine Spitfire Mk.XVI;;;;;;;;;;;;;x
ENG_interceptor_11;Supermarine Spitfire Mk.21;;;;;;;;;;;;;x
ENG_interceptor_12;Supermarine Spitfire Mk.22;;;;;;;;;;;;;x
ENG_interceptor_13;Supermarine Spitfire Mk.24;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
ENG_multi_role_0;Bristol Bulldog Mk.IIb;;;;;;;;;;;;;x
ENG_multi_role_2;Hawker Hurricane Mk.Ia;;;;;;;;;;;;;x
ENG_multi_role_3;Boulton Paul Defiant;;;;;;;;;;;;;x
ENG_multi_role_4;Hawker Hurricane Mk.Ib;;;;;;;;;;;;;x
ENG_multi_role_5;Hawker Hurricane Mk.IIc;;;;;;;;;;;;;x
ENG_multi_role_6;Hawker Hurricane Mk.IV;;;;;;;;;;;;;x
ENG_multi_role_7;Hawker Hurricane Mk V;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
ENG_fighter_bomber_8;Hawker Typhoon Mk.Ia;;;;;;;;;;;;;x
ENG_fighter_bomber_9;Hawker Typhoon Mk.Ib;;;;;;;;;;;;;x
ENG_fighter_bomber_10;Hawker Tempest Mk.V;;;;;;;;;;;;;x
ENG_fighter_bomber_11;Hawker Tempest II;;;;;;;;;;;;;x
ENG_fighter_bomber_12;Hawker Tempest Mk.VI;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
ENG_cas_0;Hawker Hart;;;;;;;;;;;;;x
ENG_cas_1;Hawker Hind;;;;;;;;;;;;;x
ENG_cas_2;Fairey Battle Mk.I;;;;;;;;;;;;;x
ENG_cas_3;Fairey Battle Mk II;;;;;;;;;;;;;x
ENG_cas_4;Fairey Battle Mk V;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
ENG_naval_fighter_0;Gloster Sea Gladiator;;;;;;;;;;;;;;x
ENG_naval_fighter_1;Sea Hurricane Mk Ia;;;;;;;;;;;;;;x
ENG_naval_fighter_2;Sea Hurricane Mk Ib;;;;;;;;;;;;;;x
ENG_naval_fighter_3;Sea Hurricane Mk Ic;;;;;;;;;;;;;;x
ENG_naval_fighter_4;Sea Hurricane Mk IIc;;;;;;;;;;;;;;x
ENG_naval_fighter_5;Blackburn Roc ;;;;;;;;;;;;;;x
ENG_naval_fighter_6;Fairey Fulmar Mk I;;;;;;;;;;;;;;x
ENG_naval_fighter_7;Fairey Firefly Mk I;;;;;;;;;;;;;;x
ENG_naval_fighter_8;Supermarine Seafire Mk IB;;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
ENG_naval_dive_bomber_0;Blackburn Skua;;;;;;;;;;;;;;x
ENG_naval_dive_bomber_1;Fairey Barracuda Mk I;;;;;;;;;;;;;;x
