################################################;;;;;;;;;;;;;;x
# French New Aircraft Unit Model Names;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Fighter Aircraft ;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
FRA_interceptor_0;Dewotine D.500;;;;;;;;;;;;;x
FRA_interceptor_1;Dewotine D.510;;;;;;;;;;;;;x
FRA_interceptor_2;Dewotine D.520;;;;;;;;;;;;;x
FRA_interceptor_3;Bloch MB.152;;;;;;;;;;;;;x
FRA_interceptor_4;Dewoitine D.552;;;;;;;;;;;;;x
FRA_interceptor_5;Bloch MB.157;;;;;;;;;;;;;x
FRA_interceptor_6;Arsenal VB 10;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
FRA_multi_role_0;Morane-Saulnier MS.405;;;;;;;;;;;;;x
FRA_multi_role_1;Morane-Saulnier MS.406;;;;;;;;;;;;;x
FRA_multi_role_2;Arsenal VG.33/36;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
FRA_cas_0;Breguet XIX;;;;;;;;;;;;;x
FRA_cas_1;ANF Les Mureaux 115;;;;;;;;;;;;;x
FRA_cas_2;ANF Les Mureaux 117;;;;;;;;;;;;;x
FRA_cas_3;Loire-Nieuport LN.42;;;;;;;;;;;;;x
FRA_cas_4;Latecoere 299;;;;;;;;;;;;;x
FRA_cas_5;Bloch MB.156;;;;;;;;;;;;;x
FRA_cas_6;Bloch MB.157;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
FRA_cag_0;PL.10;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
FRA_naval_fighter_0;D.501;;;;;;;;;;;;;;x
FRA_naval_fighter_1;D.373;;;;;;;;;;;;;;x
FRA_naval_fighter_2;MB.152;;;;;;;;;;;;;;x
FRA_naval_fighter_3;MB.157;;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
FRA_naval_torpedo_plane_4;D.750;;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
