################################################;;;;;;;;;;;;;;x
# Italian New Aircraft Unit Model Names;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Fighter Aircraft ;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
ITA_interceptor_0;Fiat CR.30;;;;;;;;;;;;;x
ITA_interceptor_1;IMAM Ro.41;;;;;;;;;;;;;x
ITA_interceptor_2;Fiat G.50;;;;;;;;;;;;;x
ITA_interceptor_3;Fiat G.50bis;;;;;;;;;;;;;x
ITA_interceptor_4;Macchi C.200 Saetta;;;;;;;;;;;;;x
ITA_interceptor_5;Reggiane Re.2001 Falco II;;;;;;;;;;;;;x
ITA_interceptor_6;Macchi C.202AS Folgore;;;;;;;;;;;;;x
ITA_interceptor_7;Fiat G.55 Centauro;;;;;;;;;;;;;x
ITA_interceptor_8;Ambrosini SAI.403 Dardo;;;;;;;;;;;;;x
ITA_interceptor_9;Fiat G.56 Centauro;;;;;;;;;;;;;x
ITA_interceptor_10;Piaggio P.119;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
ITA_multi_role_0;Fiat CR.32;;;;;;;;;;;;;x
ITA_multi_role_1;Fiat CR.32bis;;;;;;;;;;;;;x
ITA_multi_role_2;Fiat CR.32 quater;;;;;;;;;;;;;x
ITA_multi_role_3;Fiat CR.42AS;;;;;;;;;;;;;x
ITA_multi_role_4;Fiat CR.42 Bombe Alari;;;;;;;;;;;;;x
ITA_multi_role_5;Macchi C.200CB;;;;;;;;;;;;;x
ITA_multi_role_6;Macchi C.202CB Folgore;;;;;;;;;;;;;x
ITA_multi_role_7;Macchi C.205;;;;;;;;;;;;;x
ITA_multi_role_8;Reggiane Re.2005;;;;;;;;;;;;;x
ITA_multi_role_9;Reggiane Re.2006;;;;;;;;;;;;;x
ITA_multi_role_10;Caproni Vizzola F.7;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
ITA_cas_0;Caproni A.P.1;;;;;;;;;;;;;x
ITA_cas_1;Breda Ba.64;;;;;;;;;;;;;x
ITA_cas_2;Breda Ba.65;;;;;;;;;;;;;x
ITA_cas_3;CANSA FC.12;;;;;;;;;;;;;x
ITA_cas_7;Reggiane Re.2003;;;;;;;;;;;;;x
ITA_cas_8;Savoia-Marchetti SM.93;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
ITA_heavy_cas_0;Heavy CAS Prototype;;;;;;;;;;;;;x
ITA_heavy_cas_2;CANSA FC.20bis;;;;;;;;;;;;;x
ITA_heavy_cas_3;CANSA FC.20ter;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
ITA_naval_fighter_0;Naval Fighter Prototype;;;;;;;;;;;;;;x
ITA_naval_fighter_5;Reggiane Re.2001 OR Serie I;;;;;;;;;;;;;;x
