################################################;;;;;;;;;;;;;;x
# Japan New Aircraft Unit Model Names;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Fighter Aircraft ;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
JAP_interceptor_0;Kawasaki Army Type 92;;;;;;;;;;;;;x
JAP_interceptor_1;Kawasaki Ki-10-I 'Perry';;;;;;;;;;;;;x
JAP_interceptor_2;Kawasaki Ki-10-II 'Perry';;;;;;;;;;;;;x
JAP_interceptor_3;Mitsubishi Ki-18;;;;;;;;;;;;;x
JAP_interceptor_4;Mitsubishi Ki-33;;;;;;;;;;;;;x
JAP_interceptor_8;Nakajima Ki-44-I 'Tojo';;;;;;;;;;;;;x
JAP_interceptor_9;Nakajima Ki-44-II 'Tojo' Ko;;;;;;;;;;;;;x
JAP_interceptor_10;Nakajima Ki-44-II 'Tojo' Otsu;;;;;;;;;;;;;x
JAP_interceptor_11;Nakajima Ki-44-II 'Tojo' Hei;;;;;;;;;;;;;x
JAP_interceptor_12;Kawasaki Ki-100-I;;;;;;;;;;;;;x
JAP_interceptor_13;Kawasaki Ki-100-II;;;;;;;;;;;;;x
JAP_interceptor_14;Kyushu J7W Shinden;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
JAP_multi_role_0;Nakajima Ki-11;;;;;;;;;;;;;x
JAP_multi_role_4;Nakajima Ki-27a 'Nate';;;;;;;;;;;;;x
JAP_multi_role_5;Nakajima Ki-27b 'Nate';;;;;;;;;;;;;x
JAP_multi_role_6;Nakajima Ki-43-Ia 'Oscar';;;;;;;;;;;;;x
JAP_multi_role_7;Nakajima Ki-43-IIa 'Oscar';;;;;;;;;;;;;x
JAP_multi_role_8;Nakajima Ki-43-IIb 'Oscar';;;;;;;;;;;;;x
JAP_multi_role_9;Nakajima Ki-43-IIIb 'Oscar';;;;;;;;;;;;;x
JAP_multi_role_11;Nakajima Ki-84-I 'Frank' Ko;;;;;;;;;;;;;x
JAP_multi_role_12;Nakajima Ki-84-I 'Frank' Otsu;;;;;;;;;;;;;x
JAP_multi_role_13;Nakajima Ki-84-I 'Frank' Hei;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
JAP_pursuit_fighter_10;Ki-61-I 'Tony' Ko;;;;;;;;;;;;;;x
JAP_pursuit_fighter_11;Ki-61-I 'Tony' Otsu;;;;;;;;;;;;;;x
JAP_pursuit_fighter_12;Ki-61-I 'Tony' Hei;;;;;;;;;;;;;;x
JAP_pursuit_fighter_13;Ki-61-I 'Tony' Tei;;;;;;;;;;;;;;x
JAP_pursuit_fighter_14;Ki-61-II 'Tony';;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
