#########################################################;;;;;;;;;;;;;;x;
##### NEW NAVAL UNITS #################################;;;;;;;;;;;;;;x;
#########################################################;;;;;;;;;;;;;;x;
landing_ship_dock;Landing Ship Dock 'LSD';;;;;;;;;;;;;;x;
landing_ship_dock_short;LSD;;;;;;;;;;;;;;;;;;;x;
troop_transport_ship;Troop Transport;;;;;;;;;;;;;;x;
troop_transport_ship_short;Trp Trnspt;;;;;;;;;;;;;;x;
transport_dock_ship;Transport Dock Ship 'LPD';;;;;;;;;;;;;;x;
transport_dock_ship_short;LPD;;;;;;;;;;;;;;;;;x;
landing_platform_helicopter;Landing Platform Helicopter 'LPH';;;;;;;;;;;;;;x;
landing_platform_helicopter_short;LPH;;;;;;;;;;;;;;x;
battle_carrier;Battle Carrier;;;;;;;;;;;;;;x;
battle_carrier_short;CVB;;;;;;;;;;;;;;x;
landing_ship_tank;Landing Ship Tank 'LST';;;;;;;;;;;;;;x;
landing_ship_tank_short;LST;;;;;;;;;;;;;;x;
nuclear_fast_attack_submarine;Nuclear Fast Attack Submarine;;;;;;;;;;;;;;x;
nuclear_fast_attack_submarine_short;SSN;;;;;;;;;;;;;;x;
nuclear_ballistic_missile_submarine;Nuclear Ballistic Missile Submarine;;;;;;;;;;;;;;x;
nuclear_ballistic_missile_submarine_short;SSBN;;;;;;;;;;;;;;x;
guided_missile_destroyer;Guided Missile Destroyer;;;;;;;;;;;;;;x;
guided_missile_destroyer_short;DDG;;;;;;;;;;;;;;x;
nuclear_guided_missile_cruiser;Nuclear Guided Missile Destroyer;;;;;;;;;;;;;;x;
nuclear_guided_missile_cruiser_short;CGN;;;;;;;;;;;;;;x;
nuclear_super_aircraft_carrier;Nuclear Super Aircraft Carrier;;;;;;;;;;;;;;x;
nuclear_super_aircraft_carrier_short;CVN;;;;;;;;;;;;;;x;
#EOF;;;;;;;;;;;;;;x;
