################################################;;;;;;;;;;;;;;x
# United States New Aircraft Unit Model Names;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Fighter Aircraft ;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
USA_multi_role_0;Curtiss A-3 Falcon;;;;;;;;;;;;;x
USA_multi_role_1;Consolidated P-30;;;;;;;;;;;;;x
USA_multi_role_5;P-40;;;;;;;;;;;;;;x
USA_multi_role_6;P-40B;;;;;;;;;;;;;;x
USA_multi_role_7;P-40C;;;;;;;;;;;;;;x
USA_multi_role_8;P-40D;;;;;;;;;;;;;;x
USA_multi_role_9;P-40E;;;;;;;;;;;;;;x
USA_multi_role_10;P-40L;;;;;;;;;;;;;;x
USA_multi_role_11;P-40K;;;;;;;;;;;;;;x
USA_multi_role_12;P-40N;;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
USA_pursuit_fighter_0;Boeing P-12;;;;;;;;;;;;;x
USA_pursuit_fighter_1;Boeing P-26A Peashooter;;;;;;;;;;;;;x
USA_pursuit_fighter_2;Seversky P-35;;;;;;;;;;;;;x
USA_pursuit_fighter_3;Seversky P-35A Guardsman;;;;;;;;;;;;;x
USA_pursuit_fighter_4;Curtiss P-36A Hawk;;;;;;;;;;;;;;x
USA_pursuit_fighter_5;Curtiss P-36B Hawk;;;;;;;;;;;;;;x
USA_pursuit_fighter_6;Curtiss P-36E Hawk;;;;;;;;;;;;;;x
USA_pursuit_fighter_7;Republic P-43 Lancer;;;;;;;;;;;;;x
USA_pursuit_fighter_8;P-39C;;;;;;;;;;;;;;x
USA_pursuit_fighter_9;P-51B;;;;;;;;;;;;;;x
USA_pursuit_fighter_10;P-51C;;;;;;;;;;;;;;x
USA_pursuit_fighter_11;P-51D;;;;;;;;;;;;;;x
USA_pursuit_fighter_12;P-51H;;;;;;;;;;;;;;x
USA_pursuit_fighter_13;P-51K;;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
USA_fighter_bomber_8;P-39L;;;;;;;;;;;;;;x
USA_fighter_bomber_9;Republic P47C-1;;;;;;;;;;;;;;x
USA_fighter_bomber_10;Republic P47D-1;;;;;;;;;;;;;;x
USA_fighter_bomber_11;Republic P47D-25;;;;;;;;;;;;;;x
USA_fighter_bomber_12;Republic P47M;;;;;;;;;;;;;;x
USA_fighter_bomber_13;Republic P47N;;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
USA_cas_0;Curtiss A-12 Shrike;;;;;;;;;;;;;x
USA_cas_1;Northrop A-17;;;;;;;;;;;;;x
USA_cas_2;Northrop BT;;;;;;;;;;;;;x
USA_cas_3;Douglas A-24 Banshee;;;;;;;;;;;;;x
USA_cas_4;Douglas A-24A Banshee;;;;;;;;;;;;;x
USA_cas_5;Douglas A-24B Banshee;;;;;;;;;;;;;x
USA_cas_6;Curtiss A-25 Shrike;;;;;;;;;;;;;x
USA_cas_7;North American A-36 Apache;;;;;;;;;;;;;x
USA_cas_8;Douglas BTD Destroyer;;;;;;;;;;;;;x
USA_cas_9;Martin AM Mauler;;;;;;;;;;;;;x
USA_cas_10;Douglas A-1 Skyraider;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
USA_cag_0;Curtiss A-3 Falcon;;;;;;;;;;;;;x
#########################;;;;;;;;;;;;;;x
USA_naval_fighter_0;Grumman F3F;;;;;;;;;;;;;;x
USA_naval_fighter_1;Brewster F2A-1 Buffalo;;;;;;;;;;;;;;x
USA_naval_fighter_2;Brewster F2A-2 Buffalo;;;;;;;;;;;;;;x
USA_naval_fighter_3;Brewster F2A-3 Buffalo;;;;;;;;;;;;;;x
USA_naval_fighter_4;Grumman F4F Wildcat;;;;;;;;;;;;;;;x
USA_naval_fighter_5;Grumman F4F-3 Wildcat;;;;;;;;;;;;;;;x
USA_naval_fighter_6;Grumman FM-1 Wildcat;;;;;;;;;;;;;;x
