##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
############### BRITISH ARMY UNIQUE WEAPONS ####################;;;;;;;;;;;;;;x
EVTNAME9105500;New Rifle Design: The Lee Enfield .303inch Bolt Action Rifle;;;;;;;;;;x
EVTDESC9105500;The Lee–Enfield bolt-action, magazine-fed, repeating rifle was the main firearm used by the military forces of the British Empire and Commonwealth during the first half of the 20th century. It was the British Army's standard rifle from its official adoption in 1895 until 1957.  A redesign of the Lee–Metford (adopted by the British Army in 1888), the Lee–Enfield superseded the earlier Martini–Henry, Martini–Enfield, and Lee–Metford rifles. It featured a ten-round box magazine which was loaded with the .303 British cartridge manually from the top, either one round at a time or by means of five-round chargers. The Lee–Enfield was the standard issue weapon to rifle companies of the British Army and other Commonwealth nations in both the First and Second World Wars (these Commonwealth nations included Australia, New Zealand, Canada and South Africa, among others). Although officially replaced in the UK with the L1A1 SLR in 1957, it remained in widespread British service until the early/mid-1960s and the 7.62 mm L42 sniper variant remained in service until the 1990s. As a standard-issue infantry rifle, it is still found in service in the armed forces of some Commonwealth nations, notably with the Bangladesh Police, which makes it the longest-serving military bolt-action rifle still in official service. The Canadian Forces' Rangers Arctic reserve unit still used Enfield No.4 rifles as of 2012, with plans announced to replace the weapons sometime in 2014 or 2015. Total production of all Lee–Enfields is estimated at over 17 million rifles.;;;;;;;;;;x
EVTNAME9105501;New Submachinegun Design: The Sten Submachinegun;;;;;;;;;;x
EVTDESC9105501;The STEN (or Sten gun) was a family of British submachine guns chambered in 9×19mm and used extensively by British and Commonwealth forces throughout World War II and the Korean War. They were notable for having a simple design and very low production cost making them effective insurgency weapons for resistance groups.  STEN is an acronym, from the names of the weapon's chief designers, Major Reginald V. Shepherd and Harold Turpin, and EN for Enfield. Over 4 million Stens in various versions were made in the 1940s.;;;;;;;;;;x
EVTNAME9105502;New Submachinegun Design: The Lanchester Submachinegun;;;;;;;;;;x
EVTDESC9105502;The Lanchester is a submachine gun (SMG) manufactured by the Sterling Armaments Company between 1941 and 1945. It is a copy of the German MP28/II and was manufactured in two versions, Mk.1 and Mk.1*, the latter was a simplified version of the original Mk.1, with no fire selector and simplified sights. It was primarily used by the British Royal Navy during the Second World War, and to a lesser extent by Royal Air Force regiments (for airfield protection). It was given the general designation of Lanchester after George Herbert Lanchester who was charged with producing the weapon at the Sterling Armaments Company.;;;;;;;;;;x
EVTNAME9105503;New Submachinegun Design: The Sterling Submachinegun;;;;;;;;;;x
EVTDESC9105503;The Sterling submachine gun is a British submachine gun. It was trialled with the British Army in 1944–1945 as a replacement for the Sten, but it did not start to replace it until 1953. It remained in use until 1994, when it was phased out with the introduction of the L85A1 assault rifle.;;;;;;;;;;x
EVTNAME9105504;New Light Machine Gun Design: The Bren Light Machine Gun;;;;;;;;;;x
EVTDESC9105504;The Bren Gun, usually called simply the Bren, was a series of light machine guns adopted by Britain in the 1930s and used in various roles until 1992. While best known for its role as the British and Commonwealth forces' primary infantry light machine gun (LMG) in World War II, it was also used in the Korean War and saw service throughout the latter half of the 20th century, including the 1982 Falklands War. Although fitted with a bipod, it could also be mounted on a tripod or vehicle-mounted.;;;;;;;;;;x
EVTNAME9105505;New Light Machine Gun Design: The Vickers Berthier Light Machine Gun;;;;;;;;;;x
EVTDESC9105505;The Vickers–Berthier (VB) light machine gun manufactured by Vickers-Armstrong was based on a French design of just before World War I intended for use on aircraft. In 1925 Vickers in Britain purchased licence rights for production in their Crayford factory, and as a replacement for the Lewis Gun. It was an alternative to the water-cooled Vickers machine gun of same manufacture. The weapon used a similar gas and tipping bolt mechanism to the Bren gun, and also had a removable barrel, and was air-cooled like the Bren. It was adopted by the Indian Army in 1933.;;;;;;;;;;x
EVTNAME9105506;New Heavy Machine Gun Design: The Vickers Heavy Machine Gun;;;;;;;;;;x
EVTDESC9105506;The Vickers machine gun or Vickers gun is a name primarily used to refer to the water-cooled .303 British (7.7 mm) machine gun produced by Vickers Limited, originally for the British Army. The machine gun typically required a six to eight-man team to operate: one fired, one fed the ammunition, the rest helped to carry the weapon, its ammunition and spare parts. It was in service from before the First World War until the 1960s, with air-cooled versions of it on many Allied World War I fighter aircraft.;;;;;;;;;;x
EVTNAME9105507;New Mortar Design: The Stokes 3inch. Mortar;;;;;;;;;;x
EVTDESC9105507;The Stokes mortar was a British trench mortar invented by Sir Wilfred Stokes KBE that was issued to the British, Commonwealth and U.S. armies, as well as the Portuguese Expeditionary Corps (CEP), during the later half of the First World War. The 3-inch trench mortar is a smooth-bore, muzzle-loading weapon for high angles of fire. Although it is called a 3-inch mortar, its bore is actually 3.2 inches or 81mm.;;;;;;;;;;x
EVTNAME9105508;New Mortar Design: The Ordnance ML 3inch. Mortar;;;;;;;;;;x
EVTDESC9105508;The Ordnance ML 3-inch mortar was the United Kingdom's standard mortar used by the British Army from the early 1930s to the late 1960s, superseding the Stokes mortar Although called the '3-inch mortar' by the British Army, its calibre was actually 3.209 in (81.5 mm).;;;;;;;;;;x
EVTNAME9105509;New Mortar Design: The Ordnance ML 2inch. Mortar;;;;;;;;;;x
EVTDESC9105509;The Ordnance SBML 2-inch mortar, or more commonly just "2-inch mortar", was a British mortar issued to the British Army and the Commonwealth armies that saw use during the Second World War and later.  It had the advantages of being more portable than larger mortars which needed vehicles for them to be carried around, but the '2-inch' gave greater range and firepower than rifle grenades.;;;;;;;;;;x
EVTNAME9105510;New Mortar Design: The Ordnance ML 4.2inch. Mortar;;;;;;;;;;x
EVTDESC9105510;The 4.2 inch mortar was a Smooth Bore (SB) weapon of the Stokes pattern and was designed by the Armaments Research and Development Establishment and produced by the Royal Ordnance Factories. It entered British service in 1942, where it was used to equip Royal Engineer chemical warfare companies. The Mark 3 became the standard model. The first combat use was at El Alamein, which expended all the HE ammunition in the theatre.  Around mid 1943, the RE chemical warfare companies were disbanded and one heavy mortar company of each Infantry Division's machine gun battalion was equipped with the mortar. This company was organized with sixteen 4.2-in mortars, divided into four Platoons of four mortars each.  In early 1944, Divisions in Italy also held a pool of mortars for issue to other units as required, usually troops in the divisional anti-tank regiment - some regiments even converted one or more batteries to mortars.  The mortars were somewhat slower in reaching the far east, although the Australian forces in the South West Pacific had them before troops fighting in Burma did.;;;;;;;;;;x
EVTNAME9105511;New Anti-Tank Rifle Design: The Boys Anti-Tank Rifle;;;;;;;;;;x
EVTDESC9105511;The Rifle, Anti-Tank, .55in, Boys commonly known as the "Boys Anti-tank Rifle" (or incorrectly "Boyes"), was a British anti-tank rifle in use during World War II. It was often nicknamed the "elephant gun" by its users due to its size and large bore.  There were three main versions of the Boys, an early model (Mark I) which had a circular muzzle brake and T-shaped monopod, built primarily at BSA in England, a later model (Mk I*) built primarily at Jonathan Inglis in Toronto, Canada, that had a square muzzle brake and a V shaped bipod, and a third model made for airborne forces with a 30-inch (762 mm) barrel and no muzzle brake. There were also different cartridges, with a later version offering better penetration.  Although adequate against light tanks in the early part of the war, the Boys was ineffective against heavier armour and was phased out in favour of the PIAT mid-war.;;;;;;;;;;x
EVTNAME9105564;New Projector Anti-Tank Design: The PIAT;;;;;;;;;;x
EVTDESC9105564;The Projector, Infantry, Anti Tank (PIAT) was a British man-portable anti-tank weapon developed during the Second World War. The PIAT was designed in 1942 in response to the British Army's need for a more effective infantry anti-tank weapon, and entered service in 1943.  The PIAT was based on the spigot mortar system, that launched a 2.5 pound (1.1 kg) bomb using a powerful spring and a cartridge in the tail of the projectile. It possessed an effective range of approximately 115 yards (110 m) in a direct fire anti-tank role, and 350 yards (320 m) in an indirect fire 'house-breaking' role. The PIAT had several advantages over other infantry anti-tank weapons of the period, which included a lack of muzzle smoke to reveal the position of the user, and an inexpensive barrel; however, this was countered by, amongst other things, a difficulty in cocking the weapon, the bruising the user received when firing it, and problems with ammunition reliability.  The PIAT was first used during the Allied invasion of Sicily in 1943, and remained in use with British and Commonwealth forces until the early 1950s. PIATs were supplied to or obtained by other nations and forces, including the Soviet Union (through Lend Lease), the French resistance, the Polish Underground, and the Israeli Haganah (which used PIATs during the 1948 Arab–Israeli War). Six members of the British and Commonwealth armed forces received Victoria Crosses for their use of the PIAT in combat.;;;;;;;;;;x
EVTNAME9105512;New Infantry Gun Design Design: The QF 3.7in. Howitzer;;;;;;;;;;x
EVTDESC9105512;The 3.7-inch howitzer was first introduced in 1917, and was used in action in that year in the Mesopotamian Campaign (modern Iraq area).  The 22nd (Derajat) Indian Frontier Force mountain battery arrived in the East Africa campaign on 18 December 1916, when they relieved the 28th Battery which returned to India. They appear to have re-equipped from the 10 pounder mountain gun to the 3.7-inch howitzer while in East Africa, and first used the new weapon in action in an attack on German positions at Medo, 11 April 1918.  During World War II, the weapon equipped artillery units engaged in the North African Campaign (Tunisia), the Italian Campaign, the Kokoda Campaign, and Burma Campaign, and it was also used in the Netherlands and Ruhr fighting in 1944-45 by units originally destined for mountain warfare in Greece. In the latter theatre, on occasion the gun was dismantled and man-hauled up to the upper floors of buildings to provide close support in urban fighting. A lightened version was used briefly by Airborne formations. Several were supplied to the French Army after 1945; one is on display at the Vietnam Army Museum in Hanoi while another is displayed at the Zone 5 Military Museum, Danang.  During the war the gun, and its ammunition, were also manufactured in other Commonwealth Countries, including South Africa, by the ISCOR (The Iron and Steel Corporation of South Africa), and India. South Africa also produced modified versions of the gun.  The gun was finally declared obsolete by the British Army in 1960, although it had not seen service since 1945.;;;;;;;;;;x
EVTNAME9105513;New Infantry Gun Design Design: The QF 6pdr. Gun;;;;;;;;;;x
EVTDESC9105513;The British Army used the QF 6pdr. Gun not only as an anti-tank weapon but also used high explosive charges making it an effective short range infantry gun.;;;;;;;;;;x
EVTNAME9105514;New Howitzer Design: The QF 95mm Howtizer;;;;;;;;;;x
EVTDESC9105514;The Ordnance QF 95-mm howitzer was a British howitzer built in two versions during the Second World War. The tank howitzer version was accepted for service use, but an infantry howitzer version was not accepted for service use.;;;;;;;;;;x
EVTNAME9105515;New Howitzer Design: The 6inch. CWT Medium Howitzer;;;;;;;;;;x
EVTDESC9105515;The Ordnance BL 6 inch 26cwt howitzer was a British howitzer used during World War I and World War II. The qualifier "26cwt" refers to the weight of the barrel and breech together which weighed 26 long hundredweight.  During the interwar period the carriage had its wooden spoked wheels replaced with modern steel wheels and pneumatic tyres. During World War II, its use was restricted after 1942 when the replacement BL 5.5 inch Medium Gun came into use. It was however reintroduced in Burma due to a number of premature detonations in 5.5-inch (140 mm) guns. It was declared obsolete with the end of the war in 1945.  Captured examples received the designation FH-412(e) in German use.;;;;;;;;;;x
EVTNAME9105516;New Artillery Gun Design: The Ordnance QF 18pdr Gun;;;;;;;;;;x
EVTDESC9105516;The Ordnance QF 18 pounder, or simply 18-pounder Gun, was the standard British Empire field gun of the World War I era. It formed the backbone of the Royal Field Artillery during the war, and was produced in large numbers. It was used by British and Empire Forces in all the main theatres, and by British troops in Russia in 1919. Its calibre (84 mm) and hence shell weight were greater than those of the equivalent field guns in French (75 mm) and German (77 mm) service. It was generally horse drawn until mechanisation in the 1930s.  The first versions were introduced in 1904 and later versions remained in service with British forces until early 1942. During the interwar period the 18-pounder formed the basis of early versions of the equally famous Ordnance QF 25 pounder, which would form the basis of the British artillery forces during and after World War II, in much the same fashion as the 18-pounder had during World War I.;;;;;;;;;;x
EVTNAME9105517;New Artillery Gun Design: The Ordnance QF 25pdr Gun;;;;;;;;;;x
EVTDESC9105517;The Ordnance QF 25-pounder, or more simply 25-pounder or 25-pdr, was the major British field gun and howitzer during World War II. It was introduced into service just before the war started, combining high-angle and direct-fire, relatively high rates of fire, and a reasonably lethal shell in a highly mobile piece. It remained the British Army's primary artillery field piece well into the 1960s, with smaller numbers serving in training units until the 1980s. Many Commonwealth of Nations countries used theirs in active or reserve service until about the 1970s and ammunition for the weapon is currently being produced by Pakistan Ordnance Factories.;;;;;;;;;;x
EVTNAME9105518;New Medium Artillery Gun Design: The Ordnance BL 5.5in. Medium Gun;;;;;;;;;;x
EVTDESC9105518;The BL 5.5 inch Gun was a British artillery gun introduced during the middle of the Second World War to equip medium batteries.  In January 1939 a specification was issued for a gun to replace the 6 inch 26 cwt howitzers in use with most medium batteries. The first units were equipped in UK in the summer of 1941 and in North Africa a year later, 20 guns equipped British and Free French batteries at El Alamein. Subsequently it also equipped Canadian, Australian, South African, Polish and Indian regiments, and after the war, it was also used by New Zealand. In the Second World War the normal organisation was a regiment of 16 guns organised into two batteries.;;;;;;;;;;x
EVTNAME9105519;New Medium Howitzer Design: The Ordnance BL 4.5in. Medium Howitzer;;;;;;;;;;x
EVTDESC9105519;The Ordnance QF 4.5-inch howitzer was the standard British Empire field (or ‘light’) howitzer of the First World War era. It replaced the BL 5-inch howitzer and equipped some 25% of the field artillery. It entered service in 1910 and remained in service through the interwar period and was last used in the field by British forces in early 1942. It was generally horse drawn until mechanisation in the 1930s. It was used by British and Commonwealth forces in most theatres, by Russia and by British troops in Russia in 1919. Its calibre (114 mm) and hence shell weight were greater than those of the equivalent German field howitzer (105 mm); while France did not have an equivalent. In the Second World War it equipped some units of the BEF and British, Australian, New Zealand and South African batteries in East Africa and the Middle and Far East.;;;;;;;;;;x
EVTNAME9105520;New Medium Field Gun Design: The Ordnance BL 60Pdr Heavy Field Gun;;;;;;;;;;x
EVTDESC9105520;The Ordnance BL 60-pounder was a British 5 inch (127 mm) heavy field gun designed in 1903-05 to provide a new capability that had been partially met by the interim QF 4.7 inch Gun. It was designed for both horse draft and mechanical traction and served throughout the First World War in the main theatres. It remained in service with British and Commonwealth forces in the inter-war period and in frontline service with British and South African batteries until 1942 being superseded by the BL 4.5 inch Medium Gun.;;;;;;;;;;x
EVTNAME9105521;New Heavy Siege Howitzer Design: The Ordnance BL 12in. Heavy Siege Howitzer;;;;;;;;;;x
EVTDESC9105521;The Ordnance BL 12-inch howitzer was a scaled-up version of the successful BL 9.2-inch siege howitzer.  Following the success of their BL 9.2-inch howitzer, Vickers designed an almost identical version scaled up to a calibre of 12 inches, the Mk II entering service on the Western Front in August 1916. Eight complete equipments are reported as arriving in August 1916 and being in action in France shortly afterwards.  It was similar but unrelated to the BL 12 inch railway howitzers Mk I, III and V produced by the Elswick Ordnance Company at the same time.  The Mk IV was a more powerful version with longer barrel produced from 1917.  Later models were used for British home defence in World War II.;;;;;;;;;;x
EVTNAME9105522;New Heavy Howitzer Design: The Ordnance BL 8in. Howitzer;;;;;;;;;;x
