##################################################;########;;;;;;;;;;;;;x
##################################################;########;;;;;;;;;;;;;x
# Abilities;English;French;German;;;;;;;;;;;x
##################################################;########;;;;;;;;;;;;;x
MAX_STRENGTH;Max Strength;Puissance max;Max. Stärke;;Fuerza máxima;;;;;;;;;x
DEFAULT_ORG;Organisation;Organisation;Organisation;;Organización;;;;;;;;;x
DEFAULT_MORALE;Morale;Moral;Moral;;Moral;;;;;;;;;x
BUILD_COST_IC;IC Build Cost;Coût de construction CI;IK-Baukosten;;Coste de construcción en CI;;;;;;;;;x
BUILD_COST_MP;Manpower Cost;Coût en main d'œuvre;Mannstärke-Kosten;;Coste rec. hum.;;;;;;;;;x
BUILD_TIME;Build Time;Durée de construction;Bauzeit;;Tiempo cons.;;;;;;;;;x
MAXIMUM_SPEED;Max Speed;Vitesse max;Max. Geschw.;;Velocidad máxima;;;;;;;;;x
TRANSPORT_WEIGHT;Weight;Poids;Gewicht;;Peso;;;;;;;;;x
SUPPLY_CONSUMPTION;Supply Consumption;Consommation en ravitaillement;Nachschubverbrauch;;Consumo suministros;;;;;;;;;x
FUEL_CONSUMPTION;Fuel Consumption;Consommation en carburant;Treibstoffverbrauch;;Consumo combustible;;;;;;;;;x
DEFENSIVENESS;Defensiveness;Capacités défensives;Verteidigungskraft;;Defensa;;;;;;;;;x
TOUGHNESS;Toughness;Résistance;Zähigkeit;;Resistencia;;;;;;;;;x
SOFTNESS;Softness;Faiblesses;Schwäche;;Debilidad;;;;;;;;;x
AIR_DEFENCE;Air Defence;Défense aérienne;Luftverteidigung;;Defensa aérea;;;;;;;;;x
SUPPRESSION;Suppression;Répression;Unterdrückung;;Neutralización;;;;;;;;;x
SOFT_ATTACK;Soft Attack;Attaque de cibles non blindées;Angr. auf ungep. Ziele;;Ataque antipersonal;;;;;;;;;x
HARD_ATTACK;Hard Attack;Attaque de cibles blindées;Angr. auf gep. Ziele;;Ataque anticarro;;;;;;;;;x
AIR_ATTACK;Air Attack;Attaque aérienne;Angr. auf Luftziele;;Ataque aéreo;;;;;;;;;x
COMBAT_WIDTH;Combat Width;Aire de combat;Gefechtsbreite;;Anchura de combate;;;;;;;;;x
GDE_FROM_TECH;Ground Defence Efficiency;Efficacité de la défense au sol;Bodenverteidigungseffizienz;;Eficacia defensa terrestre;;;;;;;;;x
DIGIN_FROM_TECH;Dig-In Cap;Capacité à se retrancher;Max. Eingrabtiefe;;Cap. antrinch.;;;;;;;;;x
ATTACK_DELAY_FROM_TECH;Delay between attacks reduced with;Temps entre les attaques réduit par;Verzögerung zw. Angriffen reduziert um;;Retraso entre ataques reducido con;;;;;;;;;x
AD_HOURS;hours;heures;Stunden;;horas;;;;;;;;;x
DIVISION_SIZE_FROM_TECH;Allowed Brigades in Division;Brigades autorisées dans la division;Erlaubte Brigadenzahl in Division;;Brigadas permitidas en división;;;;;;;;;x
SUPPLY_TRANSFER_COST_TECH;Supply Transfer Cost;Coût du transfert du ravitaillement;Nachschub-Transferkosten;;Coste de transferencia de suministros;;;;;;;;;x
SUPPLY_THROUGHPUT_TECH;Supply Throughput;Capacité en ravitaillement;Nachschubdurchsatz;;Rendimiento de los suministros;;;;;;;;;x
REFINERY_EFFICIENCY_TECH;Refining Efficiency;Efficacité du raffinage;Raffinierungseffizienz;;Rendimiento del refinado;;;;;;;;;x
RADAR_EFFICIENCY_TECH;Radar Efficiency;Efficacité radar;Radareffizienz;;Eficacia de radares;;;;;;;;;x
RADIO_STRENGTH_TECH;Radio Strength;Puissance radio;Funkstärke;;Potencia de radiotransmisión;;;;;;;;;x
DECRYPTION_TECH;Decryption Ability;Capacité en décryptage;Entschlüsselungsfähigkeit;;Capacidad de descifrado;;;;;;;;;x
ENCRYPTION_TECH;Encryption Ability;Capacité en cryptage;Verschlüsselungsfähigkeit;;Capacidad de cifrado;;;;;;;;;x
INTEL_OP_US_TECH;Intel ops;Ops de renseignements;Spionageaktionen;;Operaciones de inteligencia;;;;;;;;;x
INTEL_OP_THEM_TECH;Counterintel ops;Ops de contre-renseignements;Gegenspionageaktionen;;Operaciones de contrainteligencia;;;;;;;;;x
CONVOY_COST_TECH;Convoy Build Cost;Coût de construction du convoi;Konvoi-Baukosten;;Coste de construcción de convoy;;;;;;;;;x
CONVOY_TIME_TECH;Convoy Build Time;Durée de construction du convoi;Konvoi-Bauzeit;;Tiempo de construcción de convoy;;;;;;;;;x
ESCORT_COST_TECH;Escort Build Cost;Coût de construction de l'escorte;Eskorte-Baukosten;;Coste de construcción de escolta;;;;;;;;;x
ESCORT_TIME_TECH;Escort Build Time;Durée de construction de l'escorte;Eskorte-Bauzeit;;Tiempo de construcción de escolta;;;;;;;;;x
UNIT_COOP_TECH;Unit Cooperation;Coopération de l'unité;Einheitenkooperation;;Cooperación de unidades;;;;;;;;;x
COMBINED_ARMS_TECH;Combined Arms Bonus;Bonus pour les armes combinées;Bonus für Op. verb. Kräfte;;Bonificación por interarma;;;;;;;;;x
REINFORCE_CHANCE_TECH;Combat Reinforcement Chance;Probabilité d'arrivée de renforts en combat;Verstärkungswahrscheinlichkeit;;Probabilidad de refuerzos de combate;;;;;;;;;x
ATTACK_MOVEMENT_SPEED_TECH;Attack Movement;Mouvement d'attaque;Angriffsgeschwindigkeit;;Movimiento de ataque;;;;;;;;;x
ENABLE_UNIT_TECH;Allow construction of;Permettre la construction de;Bau ermöglichen von;;Permitir la construcción de;;;;;;;;;x
ENABLE_BUILDING_TECH;Allow construction of;Permettre la construction de;Bau ermöglichen von;;Permitir la construcción de;;;;;;;;;x
TRANSPORT_CAPABILITY;Transport Capability;Capacité de transport;Transportfähigkeit;;Capacidad de transporte;;;;;;;;;x
RANGE;Range;Rayon d'action;Reichweite;;Radio de acción;;;;;;;;;x
DISTANCE;Distance;Distance;Entfernung;;Distancia;;;;;;;;;x
SURFACE_DETECTION;Surface Detection;Détection de surface;Oberflächenortung;;Detec. superficie;;;;;;;;;x
AIR_DETECTION;Air Detection;Détection aérienne;Luftortung;;Detec. aérea;;;;;;;;;x
SUB_DETECTION;Sub Detection;Détection sous-marine;Unterwasserortung;;Detección sub.;;;;;;;;;x
VISIBILITY;Visibility;Visibilité;Sichtweite;;Visibilidad;;;;;;;;;x
SEA_DEFENCE;Sea Defence;Défense navale;Seeverteidigung;;Def. marítima;;;;;;;;;x
CONVOY_ATTACK;Convoy Attack;Attaque du convoi;Konvoiangriff;;Ataque a convoy;;;;;;;;;x
SEA_ATTACK;Sea Attack;Attaque navale;Seeangriff;;Ataque marítimo;;;;;;;;;x
SUB_ATTACK;Sub Attack;Attaque sous-marine;Unterwasserangriff;;Ataque sub.;;;;;;;;;x
SHORE_BOMBARDMENT;Shore Bombardment;Bombardement côtier;Küstenbombardement;;Bombardeo costero;;;;;;;;;x
SURFACE_DEFENCE;Surface Defence;Défense en surface;Oberflächenverteidigung;;Defensa superf.;;;;;;;;;x
STRATEGIC_ATTACK;Strategic Attack;Attaque stratégique;Strategischer Angriff;;Ataque estrat.;;;;;;;;;x
RADIO_STRENGTH;Radio Strength;Puissance radio;Funkstärke;;Potencia de radiotransmisión;;;;;;;;;x
HULL;Hull;Coque;Rumpf;;Casco;;;;;;;;;x
POSITIONING;Positioning;Positionnement;Positionierung;;Despliegue;;;;;;;;;x
ALLOW_ESCORTS_TECH;Allows construction of convoy escorts;Permet la construction d'escortes pour les convois;Bau von Konvoi-Geleitschiffen ermöglichen;;Permite la construcción de escoltas para convoyes;;;;;;;;;x
ESCORT_EFFICIENCY_TECH;Escort Efficiency;Efficacité de l'escorte;Geleitschiff-Effizienz;;Rendimiento de la escolta;;;;;;;;;x
TARGET_CHOICE_TECH;Target Choice;Choix de la cible;Zielwahl;;Selección de objetivo;;;;;;;;;x
TARGET_CHANCE_TECH;Target Chance;Probabilité d'atteinte de la cible;Zielwahl;;Probabilidad de objetivo;;;;;;;;;x
NAVAL_BASE_EFF_TECH;Naval Base Efficiency;Efficacité de la base navale;Marinebasis-Effizienz;;Rendimiento de base naval;;;;;;;;;x
CASUALTY_TRICKLEBACK_TECH;Casualty Trickleback;Évacuation des victimes;Verwundetenrückkehr;;Goteo de vuelta de bajas;;;;;;;;;x
MAX_ATTRITION_TECH;Attrition;Attrition;Verlustquote;;El desgaste;;;;;;;;;x
MANPOWER_GAIN_TECH;Manpower;Main d'œuvre;Mannstärke;;Rec. hum.;;;;;;;;;x
IC_MOD_TECH;IC;CI;IK;;Aco Iro;;;;;;;;;x
IC_EFFICIENCY_TECH;IC Efficiency;Efficacité CI;IK-Effizienz;;Rendimiento de CI;;;;;;;;;x
ENERGY_TO_OIL_TECH;Energy to Oil;Énergie en pétrole;Energie zu Öl;;Energía en combustible;;;;;;;;;x
IC_TO_SUPPLIES_TECH;Supplies Production;Production de ravitaillement;Nachschubproduktion;;Producción de suministros;;;;;;;;;x
PROV_AA_TECH;Provincial AA Efficiency;Efficacité DCA provinciale;Provinzielle Flak-Effizienz;;Eficacia de la AA provincial;;;;;;;;;x
COMBAT_EFF_TECH;Combat Efficiency;Efficacité au combat;Kampfeffizienz;;Eficacia en combate;;;;;;;;;x
RESEARC_EFF_TECH;Research Efficiency;Efficacité des recherches;Forschungseffizienz;;Rendimiento de la investigación;;;;;;;;;x
METAL_PROD_TECH;Metal Production;Production de métaux;Metallproduktion;;Producción de metal;;;;;;;;;x
RARES_PROD_TECH;Rare Materials Production;Production de matériaux rares;Prod. seltener Materialien;;Producción de materiales raros;;;;;;;;;x
ENERGY_PROD_TECH;Energy Production;Production d'énergie;Energieproduktion;;Producción de energía;;;;;;;;;x
LEADERSHIP_GAIN_TECH;Leadership;Leadership;Führung;;Liderazgo;;;;;;;;;x
NIGHT_ADJUSTER;Night;Nuit;Nacht;;Noche;;;;;;;;;x
FORT_ADJUSTER;Fort;Fort;Fort;;Fuerte;;;;;;;;;x
RIVER_ADJUSTER;River;Fleuve;Fluss;;Río;;;;;;;;;x
AMPH_ADJUSTER;Amphibious;Amphibie;Amphibisch;;Anfibio;;;;;;;;;x
UA_ATTACK;Attack;Attaque;Angriff;;Ataque;;;;;;;;;x
UA_DEFENCE;Defence;Défense;Verteidigung;;Defensa;;;;;;;;;x
UA_MOVEMENT;Movement;Mouvement;Bewegung;;Movimiento;;;;;;;;;x
UA_ATTRITION;Attrition;Attrition;Verlustquote;;El desgaste;;;;;;;;;x
NUKE_PROD_GAIN_TECH;Nuclear Production;Production nucléaire;Atomare Prod.;;Producción nuclear;;;;;;;;;x
ORD_RED; Organisation Penalty;Pénalité d'organisation; Organisationsabzug;; Penalización a la organización;;;;;;;;;x
ORD_EFF; Efficiency;Efficacité; Effizienz;; Rendimiento;;;;;;;;;x
RADAR_IMPACT_TECH;Radar Combat Impact;Impact du radar sur le combat;Radar-Gefechtseinfluss;;Impacto del radar en combate;;;;;;;;;x
REPAIR_RATE_TECH;Repair Rate;Taux de réparation;Reparaturgeschwindigkeit;;Velocidad de reparación;;;;;;;;;x
BOMBER_TARGET_TECH;Bomber Target Selection;Sélection de la cible du bombardier;Bomber-Zielauswahl;;Selección de objetivos de bombardero;;;;;;;;;x
FIGHTER_TARGET_TECH;Fighter Target Selection;Sélection de la cible du chasseur;Jäger-Zielauswahl;;Selección de objetivos de caza;;;;;;;;;x
FRONTLINE_FOCUS_TECH;Frontline Target Focus;Cible ligne de front;Fronttruppen-Hauptziele;;Prioridad de objetivos del frente;;;;;;;;;x
RESERVE_FOCUS_TECH;Reserves Target Focus;Cible réserves;Reserven-Hauptziele;;Prioridad de objetivos de la reserva;;;;;;;;;x
NAVAL_AIR_TARGET_CHANCE_TECH;Naval Bombing Target Chance;Probabilité d'atteinte de la cible par bombardement naval;Marinebombardement - Trefferwahrsch.;;Oportunidad de objetivo de bombardeo naval ;;;;;;;;;x
CARRIER_CAPACITY;Carrier CAG size;Taille du groupe aérien embarqué;Trägergeschwader-Größe;;Portaaviones tamaño GAE;;;;;;;;;x
LISTENING_STATION_TECH;Allow radar installations to work as listening stations;Permettre aux installations radar d'opérer en tant que stations d'écoute;Radareinr. ermöglichen, als Horchposten zu fungieren;;Permitir que los puestos de radar actúen como puestos de escucha;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Theories and Practicals;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
infantry_theory;Infantry Theory;Théorie de l'infanterie;Infanterie-Theorie;;Teoría de la infantería;;;;;;;;;x
infantry_practical;Infantry Practical;Connaissances prat. infanterie;Infanterie-Praxis;;Práctica de la infantería;;;;;;;;;x
militia_theory;Militia Theory;Théorie de la milice;Miliz-Theorie;;Teoría de la milicia;;;;;;;;;x
militia_practical;Militia Practical;Connaissances prat. milice;Miliz-Praxis;;Práctica de la milicia;;;;;;;;;x
mobile_theory;Mobile Unit Theory;Théorie de l'unité mobile;Mobile Einheiten-Theorie;;Teoría de la unidad de maniobra;;;;;;;;;x
mobile_practical;Mobile Unit Practical;Connaissances pratiques de l'unité mobile;Mobile Einheiten-Praxis;;Práctica de la unidad de maniobra;;;;;;;;;x
artillery_theory;Artillery Theory;Théorie de l'artillerie;Artillerie-Theorie;;Teoría de la artillería;;;;;;;;;x
artillery_practical;Artillery Practical;Connaissances pratiques de l'artillerie;Artillerie-Praxis;;Práctica de la artillería;;;;;;;;;x
rocket_science;Rocket Science;Fuséologie;Raketen-Theorie;;Técnica de cohetes;;;;;;;;;x
rocket_practical;Rocket Practical;Connaissances pratiques en fuséologie;Raketen-Praxis;;Práctica de cohetes;;;;;;;;;x
naval_engineering;Naval Engineering;Ingénierie navale;Marine-Ingenieurswesen;;Ingeniería naval;;;;;;;;;x
destroyer_practical;Destroyer Practical;Connaissances pratiques des destroyers;Zerstörer-Praxis;;Práctica de destructores;;;;;;;;;x
cruiser_practical;Cruiser Practical;Connaissances pratiques des croiseurs;Kreuzer-Praxis;;Práctica de cruceros;;;;;;;;;x
capitalship_practical;Capital Ship Practical;Connaissances pratiques des navires capitaux;Großkampfschiff-Praxis;;Práctica de la gran unidad;;;;;;;;;x
carrier_practical;Aircraft Carrier Practical;Connaissances pratiques des porte-avions;Flugzeugträger-Praxis;;Práctica de portaaviones;;;;;;;;;x
submarine_engineering;Submarine Engineering;Ingénierie sous-marine;U-Boot-Ingenieurswesen;;Ingeniería submarina;;;;;;;;;x
submarine_practical;Submarine Practical;Connaissances pratiques des sous-marins;U-Boot-Praxis;;Práctica submarina;;;;;;;;;x
electornicegineering_theory;Electronic Engineering Theory;Théorie d'ingénierie électronique;Elektrotechnik-Theorie;;Teoría de ingeniería electrónica;;;;;;;;;x
electornicegineering_practical;Electronic Engineering Practical;Connaissances pratiques en génie électronique;Elektrotechnik-Praxis;;Práctica de ingeniería electrónica;;;;;;;;;x
automotive_theory;Automotive Theory;Théorie de l'autopropulsion;Automobil-Theorie;;Teoría del automóvil;;;;;;;;;x
armour_practical;Armour Practical;Connaissances pratiques du blindage;Panzer-Praxis;;Práctica del blindaje;;;;;;;;;x
aeronautic_engineering;Aeronautical Engineering;Ingénierie aéronautique;Flugingenieurwesen;;Ingeniería aeronáutica;;;;;;;;;x
single_engine_aircraft_practical;Light Aircraft Practical;Connaissances pratiques des avions légers;Jagdflugzeug-Praxis;;Práctica de aviones ligeros;;;;;;;;;x
twin_engine_aircraft_practical;Medium Bomber Practical;Connaissances pratiques des bombardiers moyens;Mittlere Bomber-Praxis;;Práctica de bombardero medio;;;;;;;;;x
four_engine_aircraft_practical;Heavy Aircraft Practical;Connaissances pratiques des avions lourds;Schwere Bomber-Praxis;;Práctica de bombardero pesado;;;;;;;;;x
spearhead_theory;Spearhead Doctrine;Doctrine du fer de lance;Blitzkrieg-Doktrin;;Doctrina de punta de ataque;;;;;;;;;x
superior_firepower_theory;Superior Firepower Doctrine;Doctrine de la puissance de feu dominante;Feuerüberlegenheit-Doktrin;;Doctrina de la potencia de fuego superior;;;;;;;;;x
grand_battleplan_theory;Grand Battleplan Doctrine;Doctrine du meilleur plan de bataille;Großer Schlachtplan-Doktrin;;Doctrina del plan de la gran batalla;;;;;;;;;x
human_wave_theory;Human Wave Doctrine;Doctrine de la vague humaine;Menschenwelle-Doktrin;;Doctrina de la oleada humana;;;;;;;;;x
land_doctrine_theory;Land Doctrine Theory;Théorie de la doctrine terrestre;Landdoktrin-Theorie;;Teoría de la doctrina de tierra;;;;;;;;;x
land_doctrine_practical;Land Combat Experience;Expérience en combat terrestre;Bodenkampferfahrung;;Experiencia en combate terrestre;;;;;;;;;x
naval_doctrine_practical;Naval Combat Experience;Expérience en combat naval;Seekampferfahrung;;Experiencia en combate naval;;;;;;;;;x
base_strike_doctrine;Base Strike Doctrine;Doctrine de Frappe de la base;Doktrin des Basisangriffs;;Doctrina del ataque a base;;;;;;;;;x
fleet_in_being_doctrine;Fleet in Being Doctrine;Doctrine du parc naval;Doktrin der Flottenpräsenz;;Doctrina de la flota en potencia;;;;;;;;;x
sealane_interdiction_doctrine;Sealane Interdiction Doctrine;Doctrine d'interdiction du couloir de navigation;Doktrin der Seewegsabriegelung;;Doctrina de la interceptación de rutas marítimas;;;;;;;;;x
air_doctrine_practical;Air Combat Experience;Expérience en combat aérien;Luftkampferfahrung;;Experiencia en combate aéreo;;;;;;;;;x
fighter_focus;Fighter Focus;Objectif chasseur;Fokus auf Jagdflugzeuge;;Prioridad de los cazas;;;;;;;;;x
cas_focus;Close Air Support Focus;Objectif soutien aérien rapproché;Fokus auf Luftnahunterstützung;;Prioridad del apoyo aéreo;;;;;;;;;x
tac_focus;Tactical Airpower Focus;Objectif puissance aérienne tactique;Fokus auf taktische Luftüberlegenheit;;Prioridad del poder aéreo táctico;;;;;;;;;x
nav_focus;Naval Aviation Focus;Objectif aviation navale;Fokus auf Marineflieger;;Prioridad de la aviación naval;;;;;;;;;x
strategic_air_focus;Strategic Airpower Focus;Objectif puissance aérienne stratégique;Fokus auf strategische Luftüberlegenheit;;Prioridad del poder aéreo estratégico;;;;;;;;;x
mechanicalengineering_theory;Mechanical Engineering;Génie mécanique;Maschinenbau;;Ingeniería mecánica;;;;;;;;;x
chemical_engineering;Chemical Engineering;Génie chimique;Chemietechnik;;Ingeniería química;;;;;;;;;x
jetengine_theory;Jet Engine Research;Théorie sur le réacteur;Strahltriebwerk-Theorie;;Teoría del motor a reacción;;;;;;;;;x
jetengine_practical;Jet Engine Practical;Connaissances pratiques du réacteur;Strahltriebwerk-Praxis;;Práctica del motor a reacción;;;;;;;;;x
nuclear_physics;Nuclear Physics;Physique nucléaire;Atomphysik;;Física nuclear;;;;;;;;;x
nuclear_bomb;Nuclear Bomb Making;Fabrication de bombe nucléaire;Atombombenherstellung;;Producción de bomba nuclear;;;;;;;;;x
transport_practical;Transport Practical;Connaissances pratiques des transports;Transport-Praxis;;Práctica del transporte;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Folders;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
nation_folder;Nation;;;;;;;;;;;;x
industry_folder;Industry;;;;;;;;;;;;x
electronics_folder;Electronics;;;;;;;;;;;;x
construction_folder;Construction;;;;;;;;;;;;x
manufacturing_folder;Manufacturing;;;;;;;;;;;;x
secretweapon_folder;Secret;;;;;;;;;;;;x
advanced_tech_folder;Advanced Technology;;;;;;;;;;;;x
topsecret_tech_folder;Top Secret;;;;;;;;;;;;x
infantry_folder;Infantry Weapons;;;;;;;;;;;;x
artillery_folder;Artillery Weapons;;;;;;;;;;;;x
armour_folder;Armor Technology;;;;;;;;;;;;x
advanced_land_tech_folder;Advanced Land Tech;;;;;;;;;;;;x
advanced_armor_folder;Advanced Armor Tech;;;;;;;;;;;;x
special_forces_folder;Special Forces;;;;;;;;;;;;x
infantry_organization_folder;Infantry Organization;;;;;;;;;;;;x
armor_organization_folder;Armor Organization;;;;;;;;;;;;x
advanced_organization_folder;Advanced Organization;;;;;;;;;;;;x
light_aircraft_folder;Light Aircraft;;;;;;;;;;;;x
naval_aircraft_folder;Naval Aircraft;;;;;;;;;;;;x
medium_aircraft_folder;Medium Aircraft;;;;;;;;;;;;x
heavy_aircraft_folder;Heavy Aircraft;;;;;;;;;;;;x
aircraft_armament_folder;Aircraft Armament;;;;;;;;;;;;x
aircraft_system_folder;Aircraft Systems;;;;;;;;;;;;x
jet_aircraft_folder;Jet Aircraft;;;;;;;;;;;;x
advanced_aircraft_folder;Advanced Jets;;;;;;;;;;;;x
submarine_folder;Submarines;;;;;;;;;;;;x
smallship_folder;Destroyers;;;;;;;;;;;;x
cruiser_folder;Cruisers;;;;;;;;;;;;x
capitalship_folder;Battleships;;;;;;;;;;;;x
carrier_folder;Carriers;;;;;;;;;;;;x
transports_folder;Transports;;;;;;;;;;;;x
advanced_submarine_folder;Nuclear Submarines;;;;;;;;;;;;x
advanced_ship_folder;Advanced Ships;;;;;;;;;;;;x
training_doctrine_folder;Training Doctrines;;;;;;;;;;;;x
strategic_doctrine_folder;Strategic Doctrines;;;;;;;;;;;;x
special_forces_doctrine_folder;Special Forces Doctrines;;;;;;;;;;;;x
advanced_land_doctrine_folder;Advanced Land Doctrines;;;;;;;;;;;;x
naval_doctrine_folder;Naval Doctrines;;;;;;;;;;;;x
air_doctrine_folder;Air Doctrines;;;;;;;;;;;;x
tactical_doctrine_folder;Tactical Doctrines;;;;;;;;;;;;x
advanced_naval_and_air_doctrine_folder;Advanced Doctrines;;;;;;;;;;;;x
command_structure_folder;Command and Control;;;;;;;;;;;;x
division_increase_folder;Div Increase;;;;;;;;;;;;;x
division_decrease_folder;Div Decrease;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Top Buttons;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
TECH_NATION;Nation;;;;;;;;;;;;;x
TECH_INDUSTRY;Industry;;;;;;;;;;;;;x
TECH_ELECTRONICS;Electronics;;;;;;;;;;;;;x
TECH_CONSTR;Construct;;;;;;;;;;;;;x
TECH_MANUFACTURING;Wpn Prod;;;;;;;;;;;;;x
TECH_SECRET;Secret;;;;;;;;;;;;;x
TECH_ADVANCED_TECH;Adv Tech;;;;;;;;;;;;;x
TECH_TOPSECRET;Top Scrt;;;;;;;;;;;;;x
TECH_INFANTRY;Infantry;;;;;;;;;;;;;x
TECH_ARTILLERY;Artillery;;;;;;;;;;;;;x
TECH_ARMOUR;Armor;;;;;;;;;;;;;x
TECH_ADVANCED_LAND;Adv Land;;;;;;;;;;;;;x
TECH_ADVANCED_ARMOR;Adv Armor;;;;;;;;;;;;;x
TECH_SF;SpecWar;;;;;;;;;;;;;x
TECH_INF_ORG;Inf Org;;;;;;;;;;;;;x
TECH_ARM_ORG;Arm Org;;;;;;;;;;;;;x
TECH_ADVANCED_ORG;Adv Org;;;;;;;;;;;;;x
TECH_LIGHT_AIRCRAFT;Lite Acft;;;;;;;;;;;;;x
TECH_NAVAL_AIRCRAFT;Car Acft;;;;;;;;;;;;;x
TECH_MEDIUM_AIRCRAFT;Med Acft;;;;;;;;;;;;;x
TECH_HEAVY_AIRCRAFT;Hvy Acft;;;;;;;;;;;;;x
TECH_AIRCRAFT_ARMAMENT;Acft Arm;;;;;;;;;;;;;x
TECH_AIRCRAFT_SYSTEM;Acft Sys;;;;;;;;;;;;;x
TECH_JET;Jets;;;;;;;;;;;;;x
TECH_ADVANCED_AIRCRAFT;Adv Jets;;;;;;;;;;;;;x
TECH_SUB;Submarine;;;;;;;;;;;;;x
TECH_ESCORTS;Destroyer;;;;;;;;;;;;;x
TECH_CRUISER;Cruiser;;;;;;;;;;;;;x
TECH_CAPITAL;Battleship;;;;;;;;;;;;;x
TECH_CARRIER;Carrier;;;;;;;;;;;;;x
TECH_TRANSPORTS;Transport;;;;;;;;;;;;;x
TECH_ADVANCED_SUBMARINE;Nuc Subs;;;;;;;;;;;;;x
TECH_ADVANCED_SHIP;Adv Ships;;;;;;;;;;;;;x
TECH_TRAINING_DOCTRINE;Trng Doc;;;;;;;;;;;;;x
TECH_STRATEGIC;Strat Doc;;;;;;;;;;;;;x
TECH_SFDOCTR;SF Doc;;;;;;;;;;;;;x
